"item","value"
"dataset","korean_hypertension"
"reference samples","503"
"comparison samples","120"
"tested taxa","73"
"normalization rows including Other_unmodeled","74"
"median retained fraction of original reads","0.99865"
"minimum retained fraction of original reads","0.83803"
"multiplicity family","73 prespecified taxa per result set"
"significance threshold","BH-adjusted q <= 0.05"
