"dataset","taxon","method","family","component","reference_group","comparison_group","model_formula","available","reason","p_value","p_value_unfiltered","p_for_bh","q_value","native_q_value","significant","estimate","statistic","effect_definition","components_used","sensitivity_passed"
"korean_hypertension","Clostridium sensu stricto","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.450707956210751,0.450707956210751,0.450707956210751,0.959094613007167,0.959094613007167,FALSE,,0.754235280730538,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Clostridium XlVa","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"No zero counts were observed for this taxon",1,1,1,1,1,FALSE,,,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Clostridium XlVb","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.08641920022038,0.08641920022038,0.08641920022038,0.717839422651631,0.717839422651631,FALSE,,1.71459666716933,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Clostridium XVIII","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.662063360189491,0.662063360189491,0.662063360189491,0.959094613007167,0.959094613007167,FALSE,,-0.437066170725093,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Collinsella","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.0497024531453987,0.0497024531453987,0.0497024531453987,0.717839422651631,0.717839422651631,FALSE,,1.96251588420492,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Coprobacter","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.629016963256463,0.629016963256463,0.629016963256463,0.959094613007167,0.959094613007167,FALSE,,-0.483110944768889,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Coprococcus","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.151384136522886,0.151384136522886,0.151384136522886,0.850080151243901,0.850080151243901,FALSE,,1.43465954880695,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Desulfovibrio","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.692652850883592,0.692652850883592,0.692652850883592,0.959094613007167,0.959094613007167,FALSE,,-0.395257513972458,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Dialister","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.636867895885476,0.636867895885476,0.636867895885476,0.959094613007167,0.959094613007167,FALSE,,0.472082510044405,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Dorea","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.900958681827349,0.900958681827349,0.900958681827349,1,1,FALSE,,0.124450385123963,"score z; positive values indicate greater structural absence in the comparison group",,
