"setting_id","scenario","depth_design","method","component","multiplicity","metric","n_replications","estimate","mcse","ci95_lower","ci95_upper"
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","detected_log_abundance","BY","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","structural_absence","BY","available_fraction",100,0.9822,0.00181786865989996,0.978637042897972,0.985762957102028
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","observed_prevalence","BY","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","present_conditional_abundance","BY","available_fraction",100,0.924,0.00349313901842171,0.917153573330902,0.930846426669098
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","observed_prevalence","BY","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","detected_quantile_abundance","BY","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","detected_log_abundance","BY","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","DASRA","structural_absence","raw","rejection_rate",100,0.0364,0.00268749442094793,0.0311326077262897,0.0416673922737103
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","observed_prevalence","raw","rejection_rate",100,0.0436,0.0029457039425529,0.0378265263634787,0.0493734736365213
"NULL_BALANCED","global_null","BALANCED","DASRA","present_conditional_abundance","raw","rejection_rate",100,0.0506,0.00294673248246805,0.0448245104622883,0.0563754895377117
"NULL_BALANCED","global_null","BALANCED","ZINQ","observed_prevalence","raw","rejection_rate",100,0.0464,0.0029525541074764,0.0406131002869404,0.0521868997130595
"NULL_BALANCED","global_null","BALANCED","ZINQ","detected_quantile_abundance","raw","rejection_rate",100,0.0568,0.00327488144592266,0.0503813503123531,0.0632186496876469
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","detected_log_abundance","raw","rejection_rate",100,0.0434,0.00288577143372041,0.0377439919222935,0.0490560080777065
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","structural_absence","raw","rejection_rate",100,0.0412,0.00291037850292759,0.0354957629528823,0.0469042370471177
