"setting_id","taxon","n_replications","mean_positive_control","mean_positive_case","probability_control_below_20","probability_case_below_20","probability_either_group_below_20"
"NULL_BALANCED_LOW","Taxon_031",100,14.68,15.04,0.89,0.89,0.98
"NULL_BALANCED_LOW","Taxon_032",100,21.37,20.88,0.3,0.34,0.56
"NULL_BALANCED_LOW","Taxon_033",100,15.02,15.07,0.93,0.94,0.99
"NULL_BALANCED_LOW","Taxon_034",100,13.76,13.7,0.93,0.96,1
"NULL_BALANCED_LOW","Taxon_035",100,17.18,17.19,0.81,0.76,0.96
"NULL_BALANCED_LOW","Taxon_036",100,12.11,12.38,1,1,1
"NULL_BALANCED_LOW","Taxon_037",100,12.3,12.79,0.99,0.99,1
"NULL_BALANCED_LOW","Taxon_038",100,18.81,18.99,0.49,0.55,0.75
"NULL_BALANCED_LOW","Taxon_039",100,14.46,13.33,0.96,0.97,1
"NULL_BALANCED_LOW","Taxon_040",100,11.69,11.67,0.99,1,1
"NULL_BALANCED_LOW","Taxon_041",100,21.4,21.46,0.29,0.33,0.52
"NULL_BALANCED_LOW","Taxon_042",100,16.63,16.46,0.79,0.82,0.95
"NULL_BALANCED_LOW","Taxon_043",100,12.99,12.77,0.97,1,1
"NULL_BALANCED_LOW","Taxon_044",100,14.52,14.87,0.95,0.91,0.99
"NULL_BALANCED_LOW","Taxon_045",100,19.44,19.03,0.53,0.61,0.8
"NULL_BALANCED_LOW","Taxon_046",100,15.63,15.3,0.9,0.91,0.99
"NULL_BALANCED_LOW","Taxon_047",100,16.38,16.81,0.79,0.78,0.98
"NULL_BALANCED_LOW","Taxon_048",100,12.52,13.12,0.99,0.99,1
"NULL_BALANCED_LOW","Taxon_049",100,17.21,17.27,0.77,0.75,0.95
"NULL_BALANCED_LOW","Taxon_050",100,14.38,14.3,0.99,0.92,1
"NULL_FOURFOLD","Taxon_001",100,13.96,16.28,0.98,0.87,1
"NULL_FOURFOLD","Taxon_002",100,26.1,29.21,0.04,0,0.04
"NULL_FOURFOLD","Taxon_003",100,38.86,43.36,0,0,0
"NULL_FOURFOLD","Taxon_004",100,36.96,38.68,0,0,0
"NULL_FOURFOLD","Taxon_005",100,26.01,29.11,0.05,0.02,0.07
"NULL_FOURFOLD","Taxon_006",100,40.11,43.46,0,0,0
"NULL_FOURFOLD","Taxon_007",100,25.64,31.36,0.03,0,0.03
"NULL_FOURFOLD","Taxon_008",100,42.47,44.86,0,0,0
"NULL_FOURFOLD","Taxon_009",100,31.3,34.26,0,0,0
"NULL_FOURFOLD","Taxon_010",100,21.02,24.47,0.29,0.06,0.32
