"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","dasra_retained","dasra_formed_structural_absence","dasra_regular_structural_absence","dasra_nonregular_structural_absence","dasra_formed_relative_abundance","dasra_formed_omnibus","dasra_both_components_formed","dasra_reason_structural_absence","dasra_reason_relative_abundance","dasra_warning_structural_absence","dasra_warning_relative_abundance"
"VilaAV_2018","Vila 2018",1,"balanced","Roseburia",0.88,0.86,0.9,86,90,43453,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"balanced","Ruminococcus",0.655,0.67,0.64,67,64,42468,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"balanced","Streptococcus",0.935,0.91,0.96,91,96,26782,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Acidaminococcus",0.095,0.08,0.11,8,11,3303,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Agathobaculum",0.735,0.72,0.75,72,75,3660,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Akkermansia",0.32,0.3,0.34,30,34,8622,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Alistipes",0.72,0.71,0.73,71,73,15915,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Anaerobutyricum",0.815,0.8,0.83,80,83,12800,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Anaerostipes",0.865,0.82,0.91,82,91,25603,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Bacteroides",0.925,0.89,0.96,89,96,57849,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Barnesiella",0.5,0.52,0.48,52,48,4163,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Bifidobacterium",0.92,0.91,0.93,91,93,113545,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Blautia",0.965,0.93,1,93,100,48377,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Clostridium",0.575,0.61,0.54,61,54,4625,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Collinsella",0.795,0.75,0.84,75,84,40888,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Coprococcus",0.75,0.77,0.73,77,73,19191,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Dorea",0.87,0.87,0.87,87,87,29936,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Enterococcus",0.165,0.18,0.15,18,15,5555,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Escherichia",0.405,0.35,0.46,35,46,7215,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Eubacterium",0.83,0.8,0.86,80,86,15663,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Faecalibacterium",0.79,0.8,0.78,80,78,40362,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Firmicutes_unclassified",0.64,0.61,0.67,61,67,7284,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Fusicatenibacter",0.76,0.73,0.79,73,79,41841,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"fourfold","Lachnospira",0.605,0.57,0.64,57,64,6068,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
