"item","value"
"dataset","ravel_vaginal_ethnicity"
"reference samples","97"
"comparison samples","104"
"tested taxa","70"
"normalization rows including Other_unmodeled","71"
"median retained fraction of original reads","0.9989"
"minimum retained fraction of original reads","0.37313"
"multiplicity family","70 prespecified taxa per result set"
"significance threshold","BH-adjusted q <= 0.05"
