"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_bh_rejections","familywise_type_i_error"
"MehtaRS_2018","Mehta 2018",11,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",11,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",11,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",11,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",11,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",12,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",12,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",12,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",12,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",12,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",12,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",13,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",13,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",13,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",13,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",13,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",13,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",14,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",14,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",14,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",14,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",14,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",14,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",15,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",15,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",15,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",15,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",15,"fourfold","ZINQ",30,30,1,1,1
"MehtaRS_2018","Mehta 2018",15,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",16,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",16,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",16,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",16,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",16,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",16,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",17,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",17,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",17,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",17,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",17,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",17,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",18,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",18,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",18,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",18,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",18,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",18,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",19,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",19,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",19,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",19,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",19,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",19,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",20,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",20,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",20,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
