"item","value"
"dataset","microbiomehd_zupancic_obesity"
"reference samples","88"
"comparison samples","95"
"tested taxa","41"
"normalization rows including Other_unmodeled","42"
"median retained fraction of original reads","0.38918"
"minimum retained fraction of original reads","0.03102"
"multiplicity family","41 prespecified taxa per result set"
"significance threshold","BH-adjusted q <= 0.05"
