"dataset","dataset_label","scenario","method","n_replicates","n_taxa_per_replicate","empirical_familywise_type_i_error","monte_carlo_se","mc_ci95_lower","mc_ci95_upper"
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque","balanced","ZINQ",100,30,0.05,0.021904291355759,0.00706837783584029,0.0929316221641597
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque","fourfold","ZINQ",100,30,0.04,0.0196946385566932,0.00139921774034735,0.0786007822596527
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque","balanced","MaAsLin3",100,30,0.02,0.014070529413629,0,0.0475777308941242
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque","fourfold","MaAsLin3",100,30,0.02,0.014070529413629,0,0.0475777308941242
"NHANESOral_2011_2012","NHANES Oral 2011-2012","balanced","SACAT",100,30,0.02,0.014070529413629,0,0.0475777308941242
"NHANESOral_2011_2012","NHANES Oral 2011-2012","fourfold","SACAT",100,30,0.05,0.021904291355759,0.00706837783584027,0.0929316221641597
"NHANESOral_2011_2012","NHANES Oral 2011-2012","balanced","ZINQ",100,30,0.03,0.0171446607997765,0,0.0636029176947177
"NHANESOral_2011_2012","NHANES Oral 2011-2012","fourfold","ZINQ",100,30,0.02,0.014070529413629,0,0.0475777308941242
"NHANESOral_2011_2012","NHANES Oral 2011-2012","balanced","MaAsLin3",100,30,0.03,0.0171446607997765,0,0.0636029176947177
"NHANESOral_2011_2012","NHANES Oral 2011-2012","fourfold","MaAsLin3",100,30,0.02,0.014070529413629,0,0.0475777308941242
"NielsenHB_2014","Nielsen 2014","balanced","SACAT",100,30,0.03,0.0171446607997765,0,0.0636029176947177
"NielsenHB_2014","Nielsen 2014","fourfold","SACAT",100,30,0.04,0.0196946385566932,0.00139921774034735,0.0786007822596526
"NielsenHB_2014","Nielsen 2014","balanced","ZINQ",100,30,0.08,0.0272659924344291,0.0265596368257774,0.133440363174223
"NielsenHB_2014","Nielsen 2014","fourfold","ZINQ",100,30,0.03,0.0171446607997765,0,0.0636029176947177
"NielsenHB_2014","Nielsen 2014","balanced","MaAsLin3",100,30,0.05,0.021904291355759,0.00706837783584029,0.0929316221641597
"NielsenHB_2014","Nielsen 2014","fourfold","MaAsLin3",100,30,0.02,0.014070529413629,0,0.0475777308941242
"NHANESOral_2009_2010","NHANES Oral 2009-2010","balanced","SACAT",100,30,0.02,0.014070529413629,0,0.0475777308941243
"NHANESOral_2009_2010","NHANES Oral 2009-2010","fourfold","SACAT",100,30,0.04,0.0196946385566932,0.00139921774034737,0.0786007822596526
"NHANESOral_2009_2010","NHANES Oral 2009-2010","balanced","ZINQ",100,30,0.09,0.0287623491264661,0.0336268316013593,0.146373168398641
"NHANESOral_2009_2010","NHANES Oral 2009-2010","fourfold","ZINQ",100,30,0.05,0.021904291355759,0.00706837783584028,0.0929316221641597
"NHANESOral_2009_2010","NHANES Oral 2009-2010","balanced","MaAsLin3",100,30,0.02,0.014070529413629,0,0.0475777308941242
"NHANESOral_2009_2010","NHANES Oral 2009-2010","fourfold","MaAsLin3",100,30,0.04,0.0196946385566932,0.00139921774034738,0.0786007822596526
"JieZ_2017","Jie 2017","balanced","SACAT",100,30,0.02,0.014070529413629,0,0.0475777308941242
"JieZ_2017","Jie 2017","fourfold","SACAT",100,30,0.05,0.021904291355759,0.00706837783584027,0.0929316221641597
"JieZ_2017","Jie 2017","balanced","ZINQ",100,30,0.07,0.0256432399976243,0.0197401731577394,0.120259826842261
"JieZ_2017","Jie 2017","fourfold","ZINQ",100,30,0.08,0.0272659924344291,0.0265596368257774,0.133440363174223
"JieZ_2017","Jie 2017","balanced","MaAsLin3",100,30,0.06,0.0238683256575942,0.0132189413398421,0.106781058660158
"JieZ_2017","Jie 2017","fourfold","MaAsLin3",100,30,0.06,0.0238683256575942,0.0132189413398421,0.106781058660158
"Qiita11993Colombia","Colombia Westernization","balanced","SACAT",100,30,0.03,0.0171446607997765,0,0.0636029176947177
"Qiita11993Colombia","Colombia Westernization","fourfold","SACAT",100,30,0.08,0.0272659924344291,0.0265596368257774,0.133440363174223
"Qiita11993Colombia","Colombia Westernization","balanced","ZINQ",100,30,0.06,0.0238683256575942,0.0132189413398421,0.106781058660158
"Qiita11993Colombia","Colombia Westernization","fourfold","ZINQ",100,30,0.03,0.0171446607997765,0,0.0636029176947177
"Qiita11993Colombia","Colombia Westernization","balanced","MaAsLin3",100,30,0.03,0.0171446607997765,0,0.0636029176947177
"Qiita11993Colombia","Colombia Westernization","fourfold","MaAsLin3",100,30,0.03,0.0171446607997765,0,0.0636029176947177
"LiJ_2014","Li 2014","balanced","SACAT",100,30,0,0,0,0
"LiJ_2014","Li 2014","fourfold","SACAT",100,30,0.02,0.014070529413629,0,0.0475777308941242
"LiJ_2014","Li 2014","balanced","ZINQ",100,30,0.03,0.0171446607997765,0,0.0636029176947177
"LiJ_2014","Li 2014","fourfold","ZINQ",100,30,0.03,0.0171446607997765,0,0.0636029176947177
"LiJ_2014","Li 2014","balanced","MaAsLin3",100,30,0,0,0,0
"LiJ_2014","Li 2014","fourfold","MaAsLin3",100,30,0.05,0.021904291355759,0.00706837783584029,0.0929316221641597
"Atlas1006","HITChip Atlas 1006","balanced","SACAT",100,30,0,0,0,0
"Atlas1006","HITChip Atlas 1006","fourfold","SACAT",100,30,0.01,0.01,0,0.0295996398454005
"Atlas1006","HITChip Atlas 1006","balanced","ZINQ",100,30,0.01,0.01,0,0.0295996398454005
"Atlas1006","HITChip Atlas 1006","fourfold","ZINQ",100,30,0.06,0.0238683256575942,0.0132189413398421,0.106781058660158
"Atlas1006","HITChip Atlas 1006","balanced","MaAsLin3",100,30,0,0,0,0
"Atlas1006","HITChip Atlas 1006","fourfold","MaAsLin3",100,30,0.04,0.0196946385566932,0.00139921774034737,0.0786007822596526
"SchirmerM_2016","Schirmer 2016","balanced","SACAT",100,30,0.05,0.0219042913557591,0.00706837783584023,0.0929316221641598
"SchirmerM_2016","Schirmer 2016","fourfold","SACAT",100,30,0.04,0.0196946385566932,0.00139921774034741,0.0786007822596526
"SchirmerM_2016","Schirmer 2016","balanced","ZINQ",100,30,0.08,0.0272659924344291,0.0265596368257774,0.133440363174223
"SchirmerM_2016","Schirmer 2016","fourfold","ZINQ",100,30,0.02,0.014070529413629,0,0.0475777308941242
"SchirmerM_2016","Schirmer 2016","balanced","MaAsLin3",100,30,0.04,0.0196946385566932,0.00139921774034738,0.0786007822596526
"SchirmerM_2016","Schirmer 2016","fourfold","MaAsLin3",100,30,0,0,0,0
"ZeeviD_2015","Zeevi 2015","balanced","SACAT",100,30,0,0,0,0
"ZeeviD_2015","Zeevi 2015","fourfold","SACAT",100,30,0.05,0.021904291355759,0.00706837783584024,0.0929316221641598
"ZeeviD_2015","Zeevi 2015","balanced","ZINQ",100,30,0.06,0.0238683256575942,0.0132189413398421,0.106781058660158
"ZeeviD_2015","Zeevi 2015","fourfold","ZINQ",100,30,0.07,0.0256432399976243,0.0197401731577394,0.120259826842261
"ZeeviD_2015","Zeevi 2015","balanced","MaAsLin3",100,30,0.01,0.01,0,0.0295996398454005
"ZeeviD_2015","Zeevi 2015","fourfold","MaAsLin3",100,30,0.04,0.0196946385566932,0.00139921774034737,0.0786007822596526
"VilaAV_2018","Vila 2018","balanced","SACAT",100,30,0.04,0.0196946385566932,0.0013992177403474,0.0786007822596526
"VilaAV_2018","Vila 2018","fourfold","SACAT",100,30,0.06,0.0238683256575942,0.0132189413398421,0.106781058660158
"VilaAV_2018","Vila 2018","balanced","ZINQ",100,30,0.06,0.0238683256575942,0.0132189413398421,0.106781058660158
"VilaAV_2018","Vila 2018","fourfold","ZINQ",100,30,0.07,0.0256432399976243,0.0197401731577394,0.120259826842261
"VilaAV_2018","Vila 2018","balanced","MaAsLin3",100,30,0.04,0.0196946385566932,0.00139921774034737,0.0786007822596526
"VilaAV_2018","Vila 2018","fourfold","MaAsLin3",100,30,0.07,0.0256432399976243,0.0197401731577394,0.120259826842261
"YachidaS_2019","Yachida 2019","balanced","SACAT",100,30,0.02,0.014070529413629,0,0.0475777308941242
"YachidaS_2019","Yachida 2019","fourfold","SACAT",100,30,0.02,0.014070529413629,0,0.0475777308941242
"YachidaS_2019","Yachida 2019","balanced","ZINQ",100,30,0.03,0.0171446607997765,0,0.0636029176947177
"YachidaS_2019","Yachida 2019","fourfold","ZINQ",100,30,0.02,0.014070529413629,0,0.0475777308941242
"YachidaS_2019","Yachida 2019","balanced","MaAsLin3",100,30,0,0,0,0
"YachidaS_2019","Yachida 2019","fourfold","MaAsLin3",100,30,0.02,0.014070529413629,0,0.0475777308941242
