"dataset","taxon","method","family","component","reference_group","comparison_group","model_formula","available","reason","p_value","p_value_unfiltered","p_for_bh","q_value","native_q_value","significant","estimate","statistic","effect_definition","components_used","sensitivity_passed"
"qiita_1939_pediatric_crohn","Unclassified_Erysipelotrichaceae","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.583878295062219,0.583878295062219,0.583878295062219,0.850946092551458,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Unclassified_Gammaproteobacteria","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.023403173416076,0.023403173416076,0.023403173416076,0.150347659521458,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Unclassified_Gemellaceae","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.124095608540887,0.124095608540887,0.124095608540887,0.324289759461492,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Unclassified_Gemellales","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.219306260811556,0.219306260811556,0.219306260811556,0.442789783733808,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Unclassified_Lachnospiraceae","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",1.75882442310371e-06,1.75882442310371e-06,1.75882442310371e-06,0.000372870777697987,,TRUE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Unclassified_Lactobacillales","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.270865166084026,0.270865166084026,0.270865166084026,0.501385788372248,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Unclassified_Leptotrichiaceae","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.505882236140308,0.505882236140308,0.505882236140308,0.771561396127664,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Unclassified_Methylobacteriaceae","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.839600614579193,0.839600614579193,0.839600614579193,0.945440035902446,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Unclassified_Methylophilaceae","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.24561493784747,0.24561493784747,0.24561493784747,0.469102403816789,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Unclassified_Methylophilales","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.69140543111639,0.69140543111639,0.69140543111639,0.899251235562422,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Unclassified_Micrococcaceae","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.271978139918908,0.271978139918908,0.271978139918908,0.501385788372248,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Unclassified_Mogibacteriaceae","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.735613992270671,0.735613992270671,0.735613992270671,0.919078231625655,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Unclassified_Moraxellaceae","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.839971319754425,0.839971319754425,0.839971319754425,0.945440035902446,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Unclassified_Neisseriaceae","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.000492557403417804,0.000492557403417804,0.000492557403417804,0.0208844339049149,,TRUE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Unclassified_Nitrosomonadaceae","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.010627858312397,0.010627858312397,0.010627858312397,0.0979611287925287,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Unclassified_OM60","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.00243828215368613,0.00243828215368613,0.00243828215368613,0.0323072385363413,,TRUE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Unclassified_Oxalobacteraceae","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.000731169404331822,0.000731169404331822,0.000731169404331822,0.0225942093465535,,TRUE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Unclassified_Pasteurellaceae","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.124815967260874,0.124815967260874,0.124815967260874,0.324289759461492,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
