"dataset","family","package","version","status","discoveries","elapsed_seconds","note"
"qiita_1939_pediatric_crohn","DASRA","DASRA","0.6.0","completed with unavailable taxa",113,5551.51,"The combined result uses every formed component; unavailable component p-values enter as one."
"qiita_1939_pediatric_crohn","MaAsLin3","maaslin3","1.5.3","completed with unavailable taxa",184,3.19,"TSS normalization and log2 transformation; abundance uses the default median comparison; both arms are required for the joint set."
"qiita_1939_pediatric_crohn","ZINQ","ZINQ","2.0","completed",217,0.94,"Relative abundance uses the original library size; models adjust for standardized log library size; taus 0.25, 0.50, and 0.75; native Cauchy joint test."
"qiita_1939_pediatric_crohn","ANCOM-BC2","ANCOMBC","2.10.1","completed with unavailable taxa",30,30.65,"Structural-zero detection and negative lower-bound correction; a raw p-value is set to one when pseudocount sensitivity fails."
"qiita_1939_pediatric_crohn","LinDA","MicrobiomeStat","1.4","completed",79,0.07,"Adaptive bias correction, 3% winsorization, and a 0.5 pseudo-count; package-level filters disabled."
"qiita_1939_pediatric_crohn","corncob","corncob","0.4.2","completed",78,4.66,"Robust beta-binomial Wald inference; mean and dispersion models share the adjusted formula; original library size is the binomial denominator."
"qiita_1939_pediatric_crohn","edgeR","edgeR","4.6.3","completed with unavailable taxa",47,0.22,"TMM normalization with robust quasi-likelihood fitting; library sizes recomputed after filtering; edgeR expression-filter exclusions remain in the common BH family as one."
"qiita_1939_pediatric_crohn","DESeq2","DESeq2","1.48.2","completed with unavailable taxa",63,1.33,"Positive-count size factors, parametric dispersion fit, and Wald test; Cook's handling and independent filtering retained."
"qiita_1939_pediatric_crohn","metagenomeSeq","metagenomeSeq","1.50.0","completed",150,0.18,"CSS normalization at quantile 0.5000 followed by fitZig."
