"taxon","source_feature","direction","native_prevalence_spike_coefficient","structural_logit_absence_contrast","native_nonzero_absolute_logFC","null_baseline_conditional_mean_log_relative_contrast","abundance_raw_conditional_mean_log_relative_contrast","abundance_mapped_conditional_mean_log_relative_contrast","null_baseline_expected_detection_contrast_at_1500","abundance_raw_expected_detection_contrast_at_1500","abundance_expected_detection_contrast_at_1500","joint_raw_expected_detection_contrast_at_1500","joint_expected_detection_contrast_at_1500"
"Taxon_001","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.151522844765512,0.274749659912841,0.426272504678352,0.00919787453567605,0.0173328752968034,0.00813500076112739,0.119095459165827,0.109897584630151
"Taxon_002","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris","positive",0.693147180559945,-0.693147180559945,0.693147180559945,0.0470925738841181,0.241449679221451,0.194357105337333,0.00471752640948098,0.0291774350949443,0.0244599086854633,0.138832162754219,0.134114636344738
"Taxon_003","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0652267886195057,0.151575601020931,0.216802389640437,-0.00694531008938759,0.0183956597847147,0.0253409698741023,0.0497676395455171,0.0567129496349047
"Taxon_004","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis","positive",0.693147180559945,-0.693147180559945,0.693147180559945,0.0173571758881552,0.181404016839807,0.164046840951652,0.00491562717003025,0.0164494294432566,0.0115338022732263,0.104960780864723,0.100045153694693
"Taxon_005","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae","positive",0.693147180559945,-0.693147180559945,0.693147180559945,0.000474157351415982,0.20693118968404,0.206457032332624,-0.00303646891835108,0.0246878698528533,0.0277243387712044,0.140180408083034,0.143216877001385
"Taxon_006","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0281763759837306,0.174361084329953,0.202537460313684,0.0101572884255523,0.0138219964095004,0.00366470798394813,0.0617611155078639,0.0516038270823116
"Taxon_007","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei","positive",0.693147180559945,-0.693147180559945,0.693147180559945,0.00154825410298187,0.375918746480501,0.374370492377519,0.00200954129083297,0.0423322971689106,0.0403227558780777,0.105857422946212,0.103847881655379
"Taxon_008","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.00729225154079671,0.157967002448877,0.165259253989674,0.00226437850222694,0.0197235097951863,0.0174591312929594,0.0460621299718025,0.0437977514695755
"Taxon_009","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0350811504498694,0.139914126238542,0.174995276688412,-0.00323648524989006,0.0144466590805135,0.0176831443304035,0.127106548247254,0.130343033497144
"Taxon_010","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.073589136341055,0.284995170380847,0.358584306721902,-0.00364782222638105,0.0312347495988351,0.0348825718252161,0.150873986244536,0.154521808470917
