"setting_id","scenario","depth_design","signal_count","spike_structural","spike_abundance","same_direction","generic_abundance","setting_index","base_setting_id","design_id","n_per_group","total_sample_size","signal_fraction","n_signal_target","confounding","confounded","sample_size_label","signal_fraction_label","confounding_label","design_panel","template_role","study","dgp","effect_level","effect_index","effect_parameter","effect_measure"
"NULL_BALANCED","global_null","balanced",0,FALSE,FALSE,FALSE,FALSE,1,"NULL_BALANCED","BALANCED",50,100,0,0,"unconfounded",FALSE,"n/group = 50","0% direct signals","Unconfounded","n/group = 50; 0% direct signals; Balanced depth","Stool","SparseDOSSA2_external_robustness","SparseDOSSA2_based_Stool_reservoir_semisynthetic",0,0,0,"null"
"NULL_BALANCED_LOW","global_null","balanced_low",0,FALSE,FALSE,FALSE,FALSE,2,"NULL_BALANCED_LOW","BALANCED_LOW",50,100,0,0,"unconfounded",FALSE,"n/group = 50","0% direct signals","Unconfounded","n/group = 50; 0% direct signals; Balanced low depth","Stool","SparseDOSSA2_external_robustness","SparseDOSSA2_based_Stool_reservoir_semisynthetic",0,0,0,"null"
"NULL_FOURFOLD","global_null","fourfold",0,FALSE,FALSE,FALSE,FALSE,3,"NULL_FOURFOLD","FOURFOLD",50,100,0,0,"depth_imbalanced",TRUE,"n/group = 50","0% direct signals","Depth imbalanced","n/group = 50; 0% direct signals; Fourfold depth","Stool","SparseDOSSA2_external_robustness","SparseDOSSA2_based_Stool_reservoir_semisynthetic",0,0,0,"null"
