"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","dasra_retained","dasra_formed_structural_absence","dasra_regular_structural_absence","dasra_nonregular_structural_absence","dasra_formed_relative_abundance","dasra_formed_omnibus","dasra_both_components_formed","dasra_reason_structural_absence","dasra_reason_relative_abundance","dasra_warning_structural_absence","dasra_warning_relative_abundance"
"HMPV35Throat","HMP V35 throat",1,"balanced","Streptococcus",0.995,1,0.99,100,99,238603,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"ok","multiple_root_effect_disagreement","",""
"HMPV35Throat","HMP V35 throat",1,"balanced","Tannerella",0.525,0.53,0.52,53,52,1496,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"HMPV35Throat","HMP V35 throat",1,"balanced","Treponema",0.56,0.56,0.56,56,56,2070,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"HMPV35Throat","HMP V35 throat",1,"balanced","Veillonella",0.985,0.98,0.99,98,99,74205,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"HMPV35Throat","HMP V35 throat",1,"fourfold","Actinobacillus",0.65,0.59,0.71,59,71,5791,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"HMPV35Throat","HMP V35 throat",1,"fourfold","Actinomyces",0.99,0.99,0.99,99,99,39722,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"HMPV35Throat","HMP V35 throat",1,"fourfold","Aggregatibacter",0.49,0.37,0.61,37,61,1782,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"HMPV35Throat","HMP V35 throat",1,"fourfold","Atopobium",0.87,0.83,0.91,83,91,4584,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"HMPV35Throat","HMP V35 throat",1,"fourfold","Bacteroides",0.42,0.36,0.48,36,48,2755,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","","expanded_numerical_bounds;ill_conditioned_jacobian;weakly_identified_root_plateau;multiple_numerical_roots;weak_identification"
"HMPV35Throat","HMP V35 throat",1,"fourfold","Campylobacter",0.8,0.81,0.79,81,79,6717,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"HMPV35Throat","HMP V35 throat",1,"fourfold","Capnocytophaga",0.8,0.73,0.87,73,87,10658,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"HMPV35Throat","HMP V35 throat",1,"fourfold","Catonella",0.845,0.79,0.9,79,90,2744,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"HMPV35Throat","HMP V35 throat",1,"fourfold","Corynebacterium",0.49,0.38,0.6,38,60,4309,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"HMPV35Throat","HMP V35 throat",1,"fourfold","Eubacterium",0.77,0.75,0.79,75,79,2553,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"HMPV35Throat","HMP V35 throat",1,"fourfold","Fusobacterium",0.965,0.96,0.97,96,97,22066,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"HMPV35Throat","HMP V35 throat",1,"fourfold","Gemella",0.98,0.99,0.97,99,97,15870,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","","expanded_numerical_bounds;ill_conditioned_jacobian;weakly_identified_root_plateau;weak_identification"
"HMPV35Throat","HMP V35 throat",1,"fourfold","Granulicatella",0.975,0.97,0.98,97,98,9578,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"HMPV35Throat","HMP V35 throat",1,"fourfold","Haemophilus",0.975,0.97,0.98,97,98,52802,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
