"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_rejections","type1_error"
"HMPV35Throat","HMP V35 throat",10,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",10,"fourfold","MaAsLin3",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",11,"balanced","DASRA",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",11,"balanced","ZINQ",30,30,1,3,0.1
"HMPV35Throat","HMP V35 throat",11,"balanced","MaAsLin3",30,30,1,0,0
"HMPV35Throat","HMP V35 throat",11,"fourfold","DASRA",30,30,1,3,0.1
"HMPV35Throat","HMP V35 throat",11,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",11,"fourfold","MaAsLin3",30,30,1,3,0.1
"HMPV35Throat","HMP V35 throat",12,"balanced","DASRA",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",12,"balanced","ZINQ",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",12,"balanced","MaAsLin3",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",12,"fourfold","DASRA",30,30,1,0,0
"HMPV35Throat","HMP V35 throat",12,"fourfold","ZINQ",30,30,1,0,0
"HMPV35Throat","HMP V35 throat",12,"fourfold","MaAsLin3",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",13,"balanced","DASRA",30,30,1,0,0
"HMPV35Throat","HMP V35 throat",13,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",13,"balanced","MaAsLin3",30,30,1,0,0
"HMPV35Throat","HMP V35 throat",13,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",13,"fourfold","ZINQ",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",13,"fourfold","MaAsLin3",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",14,"balanced","DASRA",30,30,1,0,0
"HMPV35Throat","HMP V35 throat",14,"balanced","ZINQ",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",14,"balanced","MaAsLin3",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",14,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",14,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",14,"fourfold","MaAsLin3",30,30,1,0,0
"HMPV35Throat","HMP V35 throat",15,"balanced","DASRA",30,30,1,0,0
"HMPV35Throat","HMP V35 throat",15,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",15,"balanced","MaAsLin3",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",15,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",15,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",15,"fourfold","MaAsLin3",30,30,1,0,0
"HMPV35Throat","HMP V35 throat",16,"balanced","DASRA",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",16,"balanced","ZINQ",30,30,1,5,0.166666666666667
"HMPV35Throat","HMP V35 throat",16,"balanced","MaAsLin3",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",16,"fourfold","DASRA",30,30,1,3,0.1
"HMPV35Throat","HMP V35 throat",16,"fourfold","ZINQ",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",16,"fourfold","MaAsLin3",30,30,1,0,0
"HMPV35Throat","HMP V35 throat",17,"balanced","DASRA",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",17,"balanced","ZINQ",30,30,1,6,0.2
"HMPV35Throat","HMP V35 throat",17,"balanced","MaAsLin3",30,30,1,4,0.133333333333333
"HMPV35Throat","HMP V35 throat",17,"fourfold","DASRA",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",17,"fourfold","ZINQ",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",17,"fourfold","MaAsLin3",30,30,1,3,0.1
"HMPV35Throat","HMP V35 throat",18,"balanced","DASRA",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",18,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",18,"balanced","MaAsLin3",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",18,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",18,"fourfold","ZINQ",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",18,"fourfold","MaAsLin3",30,30,1,3,0.1
