"setting_id","depth_design","design_id","domain","metric","first_method","first_component","second_method","second_component","n_paired_replications","first_estimate","second_estimate","difference_first_minus_second","difference_mcse","difference_ci95_lower","difference_ci95_upper","interpretation"
"NULL_BALANCED","balanced","BALANCED","abundance","raw_rejection","DASRA","present_conditional_abundance","MaAsLin3","detected_log_abundance",100,0.0538,0.0434,0.0104,0.00251829668264448,0.00540315303317298,0.015396846966827,"paired null-calibration contrast only; scientific component estimands remain method-specific"
"NULL_BALANCED","balanced","BALANCED","abundance","available_conditional_raw","DASRA","present_conditional_abundance","MaAsLin3","detected_log_abundance",100,0.0538,0.0434,0.0104,0.00251829668264448,0.00540315303317298,0.015396846966827,"paired null-calibration contrast only; scientific component estimands remain method-specific"
"NULL_BALANCED","balanced","BALANCED","abundance","bh_fwer_event","DASRA","present_conditional_abundance","MaAsLin3","detected_log_abundance",100,0.12,0.04,0.08,0.0307482445914323,0.0189888118501547,0.141011188149845,"paired null-calibration contrast only; scientific component estimands remain method-specific"
"NULL_BALANCED","balanced","BALANCED","abundance","by_fwer_event","DASRA","present_conditional_abundance","MaAsLin3","detected_log_abundance",100,0.05,0.02,0.03,0.0222701503353613,-0.0141888098098019,0.0741888098098019,"paired null-calibration contrast only; scientific component estimands remain method-specific"
"NULL_BALANCED","balanced","BALANCED","abundance","availability","ZINQ","detected_quantile_abundance","MaAsLin3","detected_log_abundance",100,1,1,0,0,0,0,"paired null-calibration contrast only; scientific component estimands remain method-specific"
"NULL_BALANCED","balanced","BALANCED","abundance","raw_rejection","ZINQ","detected_quantile_abundance","MaAsLin3","detected_log_abundance",100,0.0568,0.0434,0.0134,0.00325427457819758,0.00694281321682363,0.0198571867831764,"paired null-calibration contrast only; scientific component estimands remain method-specific"
"NULL_BALANCED","balanced","BALANCED","abundance","available_conditional_raw","ZINQ","detected_quantile_abundance","MaAsLin3","detected_log_abundance",100,0.0568,0.0434,0.0134,0.00325427457819758,0.00694281321682363,0.0198571867831764,"paired null-calibration contrast only; scientific component estimands remain method-specific"
"NULL_BALANCED","balanced","BALANCED","abundance","bh_fwer_event","ZINQ","detected_quantile_abundance","MaAsLin3","detected_log_abundance",100,0.04,0.04,0,0.0284267621807481,-0.056404863397756,0.056404863397756,"paired null-calibration contrast only; scientific component estimands remain method-specific"
"NULL_BALANCED","balanced","BALANCED","abundance","by_fwer_event","ZINQ","detected_quantile_abundance","MaAsLin3","detected_log_abundance",100,0.01,0.02,-0.01,0.0173787284350784,-0.0444831675578994,0.0244831675578994,"paired null-calibration contrast only; scientific component estimands remain method-specific"
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","prevalence","availability","DASRA","structural_absence","ZINQ","observed_prevalence",100,0.9378,1,-0.0622,0.00338618703356188,-0.0689189297132356,-0.0554810702867644,"paired null-calibration contrast only; scientific component estimands remain method-specific"
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","prevalence","raw_rejection","DASRA","structural_absence","ZINQ","observed_prevalence",100,0.0352,0.0436,-0.0084,0.00310333805292093,-0.0145576959711089,-0.00224230402889111,"paired null-calibration contrast only; scientific component estimands remain method-specific"
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","prevalence","available_conditional_raw","DASRA","structural_absence","ZINQ","observed_prevalence",100,0.0374724001513856,0.0436,-0.00612759984861437,0.0031641718930397,-0.012406003356517,0.00015080365928828,"paired null-calibration contrast only; scientific component estimands remain method-specific"
