"setting_id","depth_design","design_id","calibration_role","method","component","domain","threshold","n_taxa","operational_tail_n","operational_tail_estimate","operational_tail_mcse","operational_tail_ci95_lower","operational_tail_ci95_upper","available_conditional_tail_n","available_conditional_tail_estimate","available_conditional_tail_mcse","available_conditional_tail_ci95_lower","available_conditional_tail_ci95_upper"
"NULL_BALANCED","balanced","BALANCED","primary exact global null; balanced standard depth","ZINQ","detected_quantile_abundance","abundance",0.1,50,100,0.1126,0.00444635817384306,0.103777460738636,0.121422539261364,100,0.1126,0.00444635817384306,0.103777460738636,0.121422539261364
"NULL_BALANCED","balanced","BALANCED","primary exact global null; balanced standard depth","MaAsLin3","observed_prevalence","prevalence",0.001,50,100,4e-04,0.00028141058827258,0,0.000958379659606359,100,4e-04,0.00028141058827258,0,0.000958379659606359
"NULL_BALANCED","balanced","BALANCED","primary exact global null; balanced standard depth","MaAsLin3","observed_prevalence","prevalence",0.005,50,100,0.0028,0.000805034662657956,0.00120263657573943,0.00439736342426057,100,0.0028,0.000805034662657956,0.00120263657573943,0.00439736342426057
"NULL_BALANCED","balanced","BALANCED","primary exact global null; balanced standard depth","MaAsLin3","observed_prevalence","prevalence",0.01,50,100,0.0068,0.00114486115782966,0.00452834708342154,0.00907165291657847,100,0.0068,0.00114486115782966,0.00452834708342154,0.00907165291657847
"NULL_BALANCED","balanced","BALANCED","primary exact global null; balanced standard depth","MaAsLin3","observed_prevalence","prevalence",0.025,50,100,0.0192,0.00225487127003837,0.0147258462023447,0.0236741537976553,100,0.0192,0.00225487127003837,0.0147258462023447,0.0236741537976553
"NULL_BALANCED","balanced","BALANCED","primary exact global null; balanced standard depth","MaAsLin3","observed_prevalence","prevalence",0.05,50,100,0.0436,0.0029457039425529,0.0377550843028316,0.0494449156971684,100,0.0436,0.0029457039425529,0.0377550843028316,0.0494449156971684
"NULL_BALANCED","balanced","BALANCED","primary exact global null; balanced standard depth","MaAsLin3","observed_prevalence","prevalence",0.1,50,100,0.097,0.00395300678297706,0.0891563769314808,0.104843623068519,100,0.097,0.00395300678297706,0.0891563769314808,0.104843623068519
"NULL_BALANCED","balanced","BALANCED","primary exact global null; balanced standard depth","MaAsLin3","detected_log_abundance","abundance",0.001,50,100,0.000800000000000001,0.000393892771133865,1.8431286408836e-05,0.00158156871359117,100,0.000800000000000001,0.000393892771133865,1.8431286408836e-05,0.00158156871359117
"NULL_BALANCED","balanced","BALANCED","primary exact global null; balanced standard depth","MaAsLin3","detected_log_abundance","abundance",0.005,50,100,0.0038,0.000885118265224679,0.00204373333398243,0.00555626666601757,100,0.0038,0.000885118265224679,0.00204373333398243,0.00555626666601757
"NULL_BALANCED","balanced","BALANCED","primary exact global null; balanced standard depth","MaAsLin3","detected_log_abundance","abundance",0.01,50,100,0.0086,0.0014,0.00582209626777902,0.011377903732221,100,0.0086,0.0014,0.00582209626777902,0.011377903732221
