"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_rejections","type1_error"
"ZeeviD_2015","Zeevi 2015",13,"balanced","ZINQ",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",13,"balanced","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",13,"fourfold","DASRA",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",13,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",13,"fourfold","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",14,"balanced","DASRA",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",14,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",14,"balanced","MaAsLin3",30,26,0.866666666666667,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",14,"fourfold","DASRA",30,30,1,3,0.1
"ZeeviD_2015","Zeevi 2015",14,"fourfold","ZINQ",30,30,1,4,0.133333333333333
"ZeeviD_2015","Zeevi 2015",14,"fourfold","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",15,"balanced","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",15,"balanced","ZINQ",30,30,1,6,0.2
"ZeeviD_2015","Zeevi 2015",15,"balanced","MaAsLin3",30,26,0.866666666666667,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",15,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",15,"fourfold","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",15,"fourfold","MaAsLin3",30,28,0.933333333333333,0,0
"ZeeviD_2015","Zeevi 2015",16,"balanced","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",16,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",16,"balanced","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",16,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",16,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",16,"fourfold","MaAsLin3",30,28,0.933333333333333,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",17,"balanced","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",17,"balanced","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",17,"balanced","MaAsLin3",30,27,0.9,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",17,"fourfold","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",17,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",17,"fourfold","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",18,"balanced","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",18,"balanced","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",18,"balanced","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",18,"fourfold","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",18,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",18,"fourfold","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",19,"balanced","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",19,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",19,"balanced","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",19,"fourfold","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",19,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",19,"fourfold","MaAsLin3",30,26,0.866666666666667,0,0
"ZeeviD_2015","Zeevi 2015",20,"balanced","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",20,"balanced","ZINQ",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",20,"balanced","MaAsLin3",30,28,0.933333333333333,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",20,"fourfold","DASRA",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",20,"fourfold","ZINQ",30,30,1,3,0.1
"ZeeviD_2015","Zeevi 2015",20,"fourfold","MaAsLin3",30,26,0.866666666666667,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",21,"balanced","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",21,"balanced","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",21,"balanced","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",21,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",21,"fourfold","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",21,"fourfold","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",22,"balanced","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",22,"balanced","ZINQ",30,30,1,3,0.1
"ZeeviD_2015","Zeevi 2015",22,"balanced","MaAsLin3",30,28,0.933333333333333,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",22,"fourfold","DASRA",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",22,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",22,"fourfold","MaAsLin3",30,28,0.933333333333333,0,0
"ZeeviD_2015","Zeevi 2015",23,"balanced","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",23,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",23,"balanced","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",23,"fourfold","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",23,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",23,"fourfold","MaAsLin3",30,28,0.933333333333333,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",24,"balanced","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",24,"balanced","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",24,"balanced","MaAsLin3",30,27,0.9,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",24,"fourfold","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",24,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",24,"fourfold","MaAsLin3",30,27,0.9,3,0.1
"ZeeviD_2015","Zeevi 2015",25,"balanced","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",25,"balanced","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",25,"balanced","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",25,"fourfold","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",25,"fourfold","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",25,"fourfold","MaAsLin3",30,28,0.933333333333333,0,0
"ZeeviD_2015","Zeevi 2015",26,"balanced","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",26,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",26,"balanced","MaAsLin3",30,28,0.933333333333333,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",26,"fourfold","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",26,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",26,"fourfold","MaAsLin3",30,27,0.9,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",27,"balanced","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",27,"balanced","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",27,"balanced","MaAsLin3",30,28,0.933333333333333,0,0
"ZeeviD_2015","Zeevi 2015",27,"fourfold","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",27,"fourfold","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",27,"fourfold","MaAsLin3",30,28,0.933333333333333,0,0
"ZeeviD_2015","Zeevi 2015",28,"balanced","DASRA",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",28,"balanced","ZINQ",30,30,1,4,0.133333333333333
"ZeeviD_2015","Zeevi 2015",28,"balanced","MaAsLin3",30,26,0.866666666666667,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",28,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",28,"fourfold","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",28,"fourfold","MaAsLin3",30,28,0.933333333333333,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",29,"balanced","DASRA",30,30,1,5,0.166666666666667
"ZeeviD_2015","Zeevi 2015",29,"balanced","ZINQ",30,30,1,9,0.3
"ZeeviD_2015","Zeevi 2015",29,"balanced","MaAsLin3",30,26,0.866666666666667,5,0.166666666666667
"ZeeviD_2015","Zeevi 2015",29,"fourfold","DASRA",30,30,1,3,0.1
"ZeeviD_2015","Zeevi 2015",29,"fourfold","ZINQ",30,30,1,3,0.1
"ZeeviD_2015","Zeevi 2015",29,"fourfold","MaAsLin3",30,29,0.966666666666667,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",30,"balanced","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",30,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",30,"balanced","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",30,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",30,"fourfold","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",30,"fourfold","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",31,"balanced","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",31,"balanced","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",31,"balanced","MaAsLin3",30,28,0.933333333333333,0,0
"ZeeviD_2015","Zeevi 2015",31,"fourfold","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",31,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",31,"fourfold","MaAsLin3",30,27,0.9,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",32,"balanced","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",32,"balanced","ZINQ",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",32,"balanced","MaAsLin3",30,27,0.9,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",32,"fourfold","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",32,"fourfold","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",32,"fourfold","MaAsLin3",30,28,0.933333333333333,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",33,"balanced","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",33,"balanced","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",33,"balanced","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",33,"fourfold","DASRA",30,30,1,0,0
