"item","value"
"dataset","cdi_schubert"
"reference samples","152"
"comparison samples","91"
"tested taxa","88"
"normalization rows including Other_unmodeled","89"
"median retained fraction of original reads","0.92304"
"minimum retained fraction of original reads","0.40748"
"multiplicity family","88 prespecified taxa per result set"
"significance threshold","BH-adjusted q <= 0.05"
