"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_rejections","type1_error"
"Atlas1006","HITChip Atlas 1006",10,"balanced","MaAsLin3",30,12,0.4,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",10,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",10,"fourfold","ZINQ",30,30,1,3,0.1
"Atlas1006","HITChip Atlas 1006",10,"fourfold","MaAsLin3",30,20,0.666666666666667,3,0.1
"Atlas1006","HITChip Atlas 1006",11,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",11,"balanced","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",11,"balanced","MaAsLin3",30,7,0.233333333333333,0,0
"Atlas1006","HITChip Atlas 1006",11,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",11,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",11,"fourfold","MaAsLin3",30,20,0.666666666666667,0,0
"Atlas1006","HITChip Atlas 1006",12,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",12,"balanced","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",12,"balanced","MaAsLin3",30,15,0.5,0,0
"Atlas1006","HITChip Atlas 1006",12,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",12,"fourfold","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",12,"fourfold","MaAsLin3",30,20,0.666666666666667,0,0
"Atlas1006","HITChip Atlas 1006",13,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",13,"balanced","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",13,"balanced","MaAsLin3",30,10,0.333333333333333,0,0
"Atlas1006","HITChip Atlas 1006",13,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",13,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",13,"fourfold","MaAsLin3",30,16,0.533333333333333,0,0
"Atlas1006","HITChip Atlas 1006",14,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",14,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",14,"balanced","MaAsLin3",30,10,0.333333333333333,0,0
"Atlas1006","HITChip Atlas 1006",14,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",14,"fourfold","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",14,"fourfold","MaAsLin3",30,18,0.6,0,0
"Atlas1006","HITChip Atlas 1006",15,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",15,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",15,"balanced","MaAsLin3",30,9,0.3,0,0
"Atlas1006","HITChip Atlas 1006",15,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",15,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",15,"fourfold","MaAsLin3",30,19,0.633333333333333,0,0
"Atlas1006","HITChip Atlas 1006",16,"balanced","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",16,"balanced","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",16,"balanced","MaAsLin3",30,8,0.266666666666667,0,0
"Atlas1006","HITChip Atlas 1006",16,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",16,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",16,"fourfold","MaAsLin3",30,18,0.6,0,0
"Atlas1006","HITChip Atlas 1006",17,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",17,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",17,"balanced","MaAsLin3",30,7,0.233333333333333,0,0
"Atlas1006","HITChip Atlas 1006",17,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",17,"fourfold","ZINQ",30,30,1,3,0.1
"Atlas1006","HITChip Atlas 1006",17,"fourfold","MaAsLin3",30,18,0.6,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",18,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",18,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",18,"balanced","MaAsLin3",30,8,0.266666666666667,0,0
"Atlas1006","HITChip Atlas 1006",18,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",18,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",18,"fourfold","MaAsLin3",30,17,0.566666666666667,0,0
"Atlas1006","HITChip Atlas 1006",19,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",19,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",19,"balanced","MaAsLin3",30,11,0.366666666666667,0,0
"Atlas1006","HITChip Atlas 1006",19,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",19,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",19,"fourfold","MaAsLin3",30,16,0.533333333333333,0,0
"Atlas1006","HITChip Atlas 1006",20,"balanced","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",20,"balanced","ZINQ",30,30,1,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",20,"balanced","MaAsLin3",30,7,0.233333333333333,0,0
"Atlas1006","HITChip Atlas 1006",20,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",20,"fourfold","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",20,"fourfold","MaAsLin3",30,18,0.6,0,0
