"design","allocation_id","depth","target_library_size","median_library_size","taxon","target_set","method","component","available","reason","p_value","estimate","q_value","significant","d6300_comparison_cells"
"null",1,"native",,21398,"Pseudomonas_aeruginosa","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.902271301804822,-0.0836864481844181,0.902271301804822,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Salmonella_enterica","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.827829971270915,0.149140635169638,0.902271301804822,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Staphylococcus_aureus","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.546497431576778,-0.406128212100961,0.864047327247024,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Allobacillus_halotolerans","Abundance targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.5617402852235,0.428173942135979,0.864047327247024,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Imtechella_halotolerans","Abundance targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.628398056179654,-0.52760578810756,0.864047327247024,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Truepera_radiovictrix","Abundance targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.592189044493268,0.634937854556468,0.864047327247024,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Bacillus_subtilis","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",1,0.754796359132448,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Enterococcus_faecalis","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.987704693393451,0.765418318428784,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Escherichia_coli","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.741089226783773,0.994546539324817,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Lactobacillus_fermentum","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.842362508643215,0.932558712679563,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Listeria_monocytogenes","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.384523248125829,-0.258565411504426,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Pseudomonas_aeruginosa","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.0087877951765547,-0.051952355809795,0.0966657469421017,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Salmonella_enterica","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.0346478149051866,-0.275540365242364,0.190562981978527,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Staphylococcus_aureus","Structural targets","MaAsLin3 abundance","abundance",TRUE,"available",0.817205608222725,0.920939234860124,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Allobacillus_halotolerans","Abundance targets","MaAsLin3 abundance","abundance",TRUE,"available",0.999651525773786,0.75532338674341,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Imtechella_halotolerans","Abundance targets","MaAsLin3 abundance","abundance",TRUE,"available",0.5695286886633,-0.0116887667605957,1,FALSE,"1;2;3;4;13;14;15;16"
