"intersection","taxon","methods"
"I29","Acidaminococcus","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | edgeR | DESeq2 | metagenomeSeq"
"I4","Acidithiobacillus","corncob | metagenomeSeq"
"I1","Acinetobacter","SACAT present-conditional abundance | SACAT combined | MaAsLin3 prevalence | MaAsLin3 abundance | MaAsLin3 combined | ZINQ prevalence | ZINQ abundance | ZINQ combined | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I21","Actinobacillus","SACAT present-conditional abundance | MaAsLin3 prevalence | ZINQ prevalence | ZINQ abundance | ZINQ combined | LinDA | corncob | DESeq2 | metagenomeSeq"
"I10","Actinomyces","MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I30","Akkermansia","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | metagenomeSeq"
"I14","Alicyclobacillus","SACAT present-conditional abundance | SACAT combined | DESeq2 | metagenomeSeq"
"I3","Alistipes","MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | metagenomeSeq"
"I40","Allisonella","MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | DESeq2 | metagenomeSeq"
"I37","Anaerostipes","MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | DESeq2 | metagenomeSeq"
"I3","Anaerovibrio","MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | metagenomeSeq"
"I11","Atopobium","MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | corncob | metagenomeSeq"
"I1","Bacteroides","SACAT present-conditional abundance | SACAT combined | MaAsLin3 prevalence | MaAsLin3 abundance | MaAsLin3 combined | ZINQ prevalence | ZINQ abundance | ZINQ combined | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I6","Bifidobacterium","corncob | edgeR | DESeq2 | metagenomeSeq"
"I2","Bilophila","metagenomeSeq"
"I24","Blautia","SACAT structural absence | SACAT combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I16","Brachyspira","SACAT present-conditional abundance | SACAT combined | MaAsLin3 combined | corncob | DESeq2 | metagenomeSeq"
"I2","Bradyrhizobium","metagenomeSeq"
"I2","Butyrivibrio","metagenomeSeq"
