"item","value"
"dataset","gems_pediatric_diarrhea"
"reference samples","484"
"comparison samples","508"
"tested taxa","78"
"normalization rows including Other_unmodeled","79"
"median retained fraction of original reads","0.99953"
"minimum retained fraction of original reads","0.75006"
"multiplicity family","78 prespecified taxa per result set"
"significance threshold","BH-adjusted q <= 0.05"
