"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_bh_rejections","familywise_type_i_error"
"Qiita11993Colombia","Colombia Westernization",20,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",20,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",21,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",21,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",21,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",21,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",21,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",21,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",22,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",22,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",22,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"Qiita11993Colombia","Colombia Westernization",22,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",22,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",22,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",23,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",23,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",23,"balanced","MaAsLin3",30,28,0.933333333333333,0,0
"Qiita11993Colombia","Colombia Westernization",23,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",23,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",23,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",24,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",24,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",24,"balanced","MaAsLin3",30,30,1,0,0
