"analysis_set","suitability_criterion","datasets_analyzed","broadly_non_working_datasets","broadly_non_working_percent","structural_median_dataset_availability_percent","structural_minimum_dataset_availability_percent","abundance_median_dataset_availability_percent","abundance_minimum_dataset_availability_percent","combined_median_dataset_availability_percent","combined_minimum_dataset_availability_percent","pooled_available_component_taxon_results","pooled_unavailable_component_taxon_results","pooled_component_taxon_results","pooled_available_percent","pooled_unavailable_percent"
"Additional datasets excluding CRC and CDI","Broadly non-working if any DASRA component availability is below 70%",5,0,0,100,81.13,97.44,86.32,97.14,74.53,1282,140,1422,90.15,9.85
"All completed datasets","Broadly non-working if any DASRA component availability is below 70%",7,0,0,96.83,81.13,97.44,86.32,95.24,74.53,1884,180,2064,91.28,8.72
