"summary_type","classification","datasets_contributing","equal_dataset_mean_percent","median_dataset_percent","minimum_dataset_percent","maximum_dataset_percent","calculation"
"DASRA signal category","Structural absence only",5,45.62,46.67,20,75,"Arithmetic summary of within-dataset percentages; each dataset receives equal weight"
"DASRA signal category","Present-conditional abundance only",5,45.29,46.67,20.83,80,"Arithmetic summary of within-dataset percentages; each dataset receives equal weight"
"DASRA signal category","Both components",5,8.58,6.67,0,16.67,"Arithmetic summary of within-dataset percentages; each dataset receives equal weight"
"DASRA signal category","Omnibus only",5,0.51,0,0,2.56,"Arithmetic summary of within-dataset percentages; each dataset receives equal weight"
"Selection by non-DASRA methods","Selected by at least one non-DASRA method",5,100,100,100,100,"Arithmetic summary of within-dataset percentages; each dataset receives equal weight"
"Selection by non-DASRA methods","Not selected by any non-DASRA method",5,0,0,0,0,"Arithmetic summary of within-dataset percentages; each dataset receives equal weight"
