"signal_category","datasets_included","all_dasra_combined_bh_discoveries","discoveries_with_both_components_available","discoveries_with_one_component_available","taxa_across_datasets","percent_of_two_component_discoveries","significant_in_at_least_one_comparison_method","not_significant_in_any_comparison_method","percent_in_category_not_significant_in_any_comparison_method","equal_dataset_descriptive_percent","datasets_contributing_to_equal_dataset_summary","calculation_note"
"Structural absence only",7,157,144,13,71,49.31,71,0,0,45.41,5,"Mechanism categories use combined discoveries for which both component results were available; pooled summaries are descriptive, and equal-dataset percentages average the within-dataset percentages among contributing datasets"
"Present-conditional abundance only",7,157,144,13,57,39.58,57,0,0,45.53,5,"Mechanism categories use combined discoveries for which both component results were available; pooled summaries are descriptive, and equal-dataset percentages average the within-dataset percentages among contributing datasets"
"Both components",7,157,144,13,15,10.42,15,0,0,8.55,5,"Mechanism categories use combined discoveries for which both component results were available; pooled summaries are descriptive, and equal-dataset percentages average the within-dataset percentages among contributing datasets"
"Omnibus only",7,157,144,13,1,0.69,1,0,0,0.51,5,"Mechanism categories use combined discoveries for which both component results were available; pooled summaries are descriptive, and equal-dataset percentages average the within-dataset percentages among contributing datasets"
