"replication","setting_id","max_probability_sum_error_before_adjustment","max_inactive_tested_probability_error","minimum_other_probability","reservoir_fraction_min","reservoir_fraction_max","minimum_positive_control","minimum_positive_case"
1,"NULL_BALANCED",1.33226762955019e-15,0,0.000607994041686618,0.000607994041686618,0.975763031357423,31,26
1,"NULL_FOURFOLD",1.33226762955019e-15,0,0.000607994041686618,0.000607994041686618,0.975763031357423,24,27
1,"STRUCT_BALANCED",1.33226762955019e-15,0,0.000730948689248892,0.000607994041686618,0.975763031357423,28,16
1,"STRUCT_FOURFOLD",1.33226762955019e-15,0,0.000730948689248892,0.000607994041686618,0.975763031357423,26,18
1,"ABUND_BALANCED",1.55431223447522e-15,0,0.000725070588350865,0.000607994041686618,0.975763031357423,27,25
1,"ABUND_FOURFOLD",1.55431223447522e-15,0,0.000725070588350865,0.000607994041686618,0.975763031357423,25,26
1,"JOINT_BALANCED",1.33226762955019e-15,0,0.000724506374210982,0.000607994041686618,0.975763031357423,29,15
1,"JOINT_FOURFOLD",1.33226762955019e-15,0,0.000724506374210982,0.000607994041686618,0.975763031357423,22,17
1,"ABUND40_SAME_BALANCED",1.33226762955019e-15,0,0.000779370372401119,0.000607994041686618,0.975763031357423,26,27
1,"ABUND60_SAME_BALANCED",1.33226762955019e-15,0,0.00159382914433589,0.000607994041686618,0.975763031357423,27,24
2,"NULL_BALANCED",1.11022302462516e-15,0,0.00164681726143238,0.00164681726143238,0.970999292397346,24,22
2,"NULL_FOURFOLD",1.11022302462516e-15,0,0.00164681726143238,0.00164681726143238,0.970999292397346,20,26
2,"STRUCT_BALANCED",1.11022302462516e-15,0,0.00219502936046766,0.00164681726143238,0.970999292397346,23,24
2,"STRUCT_FOURFOLD",1.11022302462516e-15,0,0.00219502936046766,0.00164681726143238,0.970999292397346,19,26
2,"ABUND_BALANCED",1.11022302462516e-15,0,0.00219502936046766,0.00164681726143238,0.970999292397346,25,23
2,"ABUND_FOURFOLD",1.11022302462516e-15,0,0.00219502936046766,0.00164681726143238,0.970999292397346,20,27
2,"JOINT_BALANCED",1.11022302462516e-15,0,0.00219502936046766,0.00164681726143238,0.970999292397346,22,25
2,"JOINT_FOURFOLD",1.11022302462516e-15,0,0.00219502936046766,0.00164681726143238,0.970999292397346,22,25
2,"ABUND40_SAME_BALANCED",1.11022302462516e-15,0,0.00291586470819141,0.00164681726143238,0.970999292397346,26,25
2,"ABUND60_SAME_BALANCED",1.11022302462516e-15,0,0.0113288593540248,0.00164681726143238,0.970999292397346,29,20
3,"NULL_BALANCED",1.33226762955019e-15,0,0.00100553643673805,0.00100553643673805,0.997378912922756,24,24
3,"NULL_FOURFOLD",1.33226762955019e-15,0,0.00100553643673805,0.00100553643673805,0.997378912922756,19,25
3,"STRUCT_BALANCED",1.33226762955019e-15,0,0.00103142566167994,0.00100553643673805,0.997378912922756,23,24
3,"STRUCT_FOURFOLD",1.33226762955019e-15,0,0.00103142566167994,0.00100553643673805,0.997378912922756,21,27
3,"ABUND_BALANCED",1.33226762955019e-15,0,0.00103142566167994,0.00100553643673805,0.997378912922756,22,24
3,"ABUND_FOURFOLD",1.33226762955019e-15,0,0.00103142566167994,0.00100553643673805,0.997378912922756,15,25
3,"JOINT_BALANCED",1.33226762955019e-15,0,0.00103142566167994,0.00100553643673805,0.997378912922756,25,23
3,"JOINT_FOURFOLD",1.33226762955019e-15,0,0.00103142566167994,0.00100553643673805,0.997378912922756,18,25
3,"ABUND40_SAME_BALANCED",1.11022302462516e-15,0,0.00125440143494706,0.00100553643673805,0.997378912922756,25,28
3,"ABUND60_SAME_BALANCED",1.33226762955019e-15,0,0.00606468841613628,0.00100553643673805,0.997378912922756,25,30
4,"NULL_BALANCED",1.11022302462516e-15,0,0.000405910815375837,0.000405910815375837,0.973674959539396,30,29
4,"NULL_FOURFOLD",1.11022302462516e-15,0,0.000405910815375837,0.000405910815375837,0.973674959539396,25,27
4,"STRUCT_BALANCED",1.11022302462516e-15,0,0.000790723804251251,0.000405910815375837,0.973674959539396,29,27
4,"STRUCT_FOURFOLD",1.11022302462516e-15,0,0.000790723804251251,0.000405910815375837,0.973674959539396,26,25
4,"ABUND_BALANCED",9.99200722162641e-16,0,0.00081097291960963,0.000405910815375837,0.973674959539396,31,28
4,"ABUND_FOURFOLD",9.99200722162641e-16,0,0.00081097291960963,0.000405910815375837,0.973674959539396,24,28
4,"JOINT_BALANCED",9.99200722162641e-16,0,0.000813594544490971,0.000405910815375837,0.973674959539396,31,24
4,"JOINT_FOURFOLD",9.99200722162641e-16,0,0.000813594544490971,0.000405910815375837,0.973674959539396,27,24
4,"ABUND40_SAME_BALANCED",1.11022302462516e-15,0,0.00345443771092023,0.000405910815375837,0.973674959539396,28,29
4,"ABUND60_SAME_BALANCED",1.11022302462516e-15,0,0.00405488143553618,0.000405910815375837,0.973674959539396,30,29
5,"NULL_BALANCED",9.99200722162641e-16,0,0.000751133897312362,0.000751133897312362,0.965380889052611,26,27
5,"NULL_FOURFOLD",9.99200722162641e-16,0,0.000751133897312362,0.000751133897312362,0.965380889052611,25,28
5,"STRUCT_BALANCED",9.99200722162641e-16,0,0.00190278109604186,0.000751133897312362,0.965380889052611,29,21
5,"STRUCT_FOURFOLD",9.99200722162641e-16,0,0.00190278109604186,0.000751133897312362,0.965380889052611,22,22
5,"ABUND_BALANCED",9.99200722162641e-16,0,0.00190278109604186,0.000751133897312362,0.965380889052611,27,31
5,"ABUND_FOURFOLD",9.99200722162641e-16,0,0.00190278109604186,0.000751133897312362,0.965380889052611,22,29
5,"JOINT_BALANCED",1.11022302462516e-15,0,0.00190278109604186,0.000751133897312362,0.965380889052611,29,22
5,"JOINT_FOURFOLD",1.11022302462516e-15,0,0.00190278109604186,0.000751133897312362,0.965380889052611,24,19
5,"ABUND40_SAME_BALANCED",9.99200722162641e-16,0,0.00302210697597774,0.000751133897312362,0.965380889052611,29,31
5,"ABUND60_SAME_BALANCED",1.11022302462516e-15,0,0.00305912890188718,0.000751133897312362,0.965380889052611,27,31
6,"NULL_BALANCED",1.33226762955019e-15,0,0.000448568690077609,0.000448568690077609,0.975289725209997,26,32
6,"NULL_FOURFOLD",1.33226762955019e-15,0,0.000448568690077609,0.000448568690077609,0.975289725209997,25,36
6,"STRUCT_BALANCED",1.11022302462516e-15,0,0.000482940070989839,0.000448568690077609,0.975289725209997,28,23
6,"STRUCT_FOURFOLD",1.11022302462516e-15,0,0.000482940070989839,0.000448568690077609,0.975289725209997,23,23
6,"ABUND_BALANCED",1.11022302462516e-15,0,0.00049261440923531,0.000448568690077609,0.975289725209997,29,35
6,"ABUND_FOURFOLD",1.11022302462516e-15,0,0.00049261440923531,0.000448568690077609,0.975289725209997,24,35
6,"JOINT_BALANCED",1.11022302462516e-15,0,0.00048548445657978,0.000448568690077609,0.975289725209997,25,18
6,"JOINT_FOURFOLD",1.11022302462516e-15,0,0.00048548445657978,0.000448568690077609,0.975289725209997,22,25
6,"ABUND40_SAME_BALANCED",1.33226762955019e-15,0,0.000487484301217723,0.000448568690077609,0.975289725209997,27,28
6,"ABUND60_SAME_BALANCED",1.11022302462516e-15,0,0.000506658400949275,0.000448568690077609,0.975289725209997,25,27
7,"NULL_BALANCED",1.11022302462516e-15,0,0.000315661980844956,0.000315661980844956,0.93175648040307,31,33
7,"NULL_FOURFOLD",1.11022302462516e-15,0,0.000315661980844956,0.000315661980844956,0.93175648040307,26,34
7,"STRUCT_BALANCED",1.33226762955019e-15,0,0.000402001036893742,0.000315661980844956,0.93175648040307,25,18
7,"STRUCT_FOURFOLD",1.33226762955019e-15,0,0.000402001036893742,0.000315661980844956,0.93175648040307,22,19
7,"ABUND_BALANCED",1.33226762955019e-15,0,0.000402001036893742,0.000315661980844956,0.93175648040307,28,31
7,"ABUND_FOURFOLD",1.33226762955019e-15,0,0.000402001036893742,0.000315661980844956,0.93175648040307,22,32
7,"JOINT_BALANCED",1.33226762955019e-15,0,0.000402001036893742,0.000315661980844956,0.93175648040307,27,17
7,"JOINT_FOURFOLD",1.33226762955019e-15,0,0.000402001036893742,0.000315661980844956,0.93175648040307,20,20
7,"ABUND40_SAME_BALANCED",1.33226762955019e-15,0,0.0023671751627232,0.000315661980844956,0.93175648040307,27,32
7,"ABUND60_SAME_BALANCED",1.22124532708767e-15,0,0.00238297757171499,0.000315661980844956,0.93175648040307,26,33
8,"NULL_BALANCED",1.33226762955019e-15,0,0.000508899943236174,0.000508899943236174,0.996589925279248,29,22
8,"NULL_FOURFOLD",1.33226762955019e-15,0,0.000508899943236174,0.000508899943236174,0.996589925279248,25,23
8,"STRUCT_BALANCED",1.33226762955019e-15,0,0.000870260574396476,0.000508899943236174,0.996589925279248,28,21
8,"STRUCT_FOURFOLD",1.33226762955019e-15,0,0.000870260574396476,0.000508899943236174,0.996589925279248,25,24
8,"ABUND_BALANCED",1.33226762955019e-15,0,0.000870260574396476,0.000508899943236174,0.996589925279248,29,23
8,"ABUND_FOURFOLD",1.33226762955019e-15,0,0.000870260574396476,0.000508899943236174,0.996589925279248,23,23
8,"JOINT_BALANCED",1.33226762955019e-15,0,0.000870260574396476,0.000508899943236174,0.996589925279248,28,23
8,"JOINT_FOURFOLD",1.33226762955019e-15,0,0.000870260574396476,0.000508899943236174,0.996589925279248,24,24
8,"ABUND40_SAME_BALANCED",1.33226762955019e-15,0,0.00119053781914513,0.000508899943236174,0.996589925279248,29,22
8,"ABUND60_SAME_BALANCED",1.33226762955019e-15,0,0.00574572255535775,0.000508899943236174,0.996589925279248,28,30
9,"NULL_BALANCED",1.11022302462516e-15,0,0.00103062504845952,0.00103062504845952,0.972261086234597,22,31
9,"NULL_FOURFOLD",1.11022302462516e-15,0,0.00103062504845952,0.00103062504845952,0.972261086234597,20,35
9,"STRUCT_BALANCED",9.99200722162641e-16,0,0.00247465379356158,0.00103062504845952,0.972261086234597,27,21
9,"STRUCT_FOURFOLD",9.99200722162641e-16,0,0.00247465379356158,0.00103062504845952,0.972261086234597,18,21
9,"ABUND_BALANCED",1.11022302462516e-15,0,0.00244830459342223,0.00103062504845952,0.972261086234597,26,28
9,"ABUND_FOURFOLD",1.11022302462516e-15,0,0.00244830459342223,0.00103062504845952,0.972261086234597,18,29
9,"JOINT_BALANCED",9.99200722162641e-16,0,0.00247465379356158,0.00103062504845952,0.972261086234597,26,20
9,"JOINT_FOURFOLD",9.99200722162641e-16,0,0.00247465379356158,0.00103062504845952,0.972261086234597,20,20
9,"ABUND40_SAME_BALANCED",1.11022302462516e-15,0,0.00617557411238542,0.00103062504845952,0.972261086234597,27,26
9,"ABUND60_SAME_BALANCED",1.11022302462516e-15,0,0.00638805039005429,0.00103062504845952,0.972261086234597,24,30
10,"NULL_BALANCED",1.11022302462516e-15,0,0.000646395478901957,0.000646395478901957,0.991885986125016,24,33
10,"NULL_FOURFOLD",1.11022302462516e-15,0,0.000646395478901957,0.000646395478901957,0.991885986125016,19,35
10,"STRUCT_BALANCED",1.33226762955019e-15,0,0.000717381837691724,0.000646395478901957,0.991885986125016,23,30
10,"STRUCT_FOURFOLD",1.33226762955019e-15,0,0.000717381837691724,0.000646395478901957,0.991885986125016,22,34
10,"ABUND_BALANCED",1.33226762955019e-15,0,0.00073448633280833,0.000646395478901957,0.991885986125016,22,26
10,"ABUND_FOURFOLD",1.33226762955019e-15,0,0.00073448633280833,0.000646395478901957,0.991885986125016,24,26
10,"JOINT_BALANCED",1.33226762955019e-15,0,0.000723836883347797,0.000646395478901957,0.991885986125016,26,27
10,"JOINT_FOURFOLD",1.33226762955019e-15,0,0.000723836883347797,0.000646395478901957,0.991885986125016,18,32
10,"ABUND40_SAME_BALANCED",1.11022302462516e-15,0,0.000921362039242037,0.000646395478901957,0.991885986125016,22,24
10,"ABUND60_SAME_BALANCED",8.88178419700125e-16,0,0.00104971577630953,0.000646395478901957,0.991885986125016,22,24
11,"NULL_BALANCED",1.33226762955019e-15,0,0.00033231899097374,0.00033231899097374,0.992526006660559,27,32
11,"NULL_FOURFOLD",1.33226762955019e-15,0,0.00033231899097374,0.00033231899097374,0.992526006660559,21,33
11,"STRUCT_BALANCED",1.33226762955019e-15,0,0.000320411731837433,0.00033231899097374,0.992526006660559,26,16
11,"STRUCT_FOURFOLD",1.33226762955019e-15,0,0.000320411731837433,0.00033231899097374,0.992526006660559,19,21
11,"ABUND_BALANCED",1.33226762955019e-15,0,0.000320411731837433,0.00033231899097374,0.992526006660559,29,26
11,"ABUND_FOURFOLD",1.33226762955019e-15,0,0.000320411731837433,0.00033231899097374,0.992526006660559,20,26
