"setting_id","scenario","depth_design","method","component","multiplicity","metric","n_replications","estimate","mcse","ci95_lower","ci95_upper"
"ABUND_BALANCED","abundance_only","BALANCED","DASRA","present_conditional_abundance","raw","available_fraction",100,0.9844,0.00178840259404415,0.980894795325815,0.987905204674185
"ABUND_BALANCED","abundance_only","BALANCED","LinDA","general_abundance","raw","available_fraction",100,1,0,1,1
"ABUND_BALANCED","abundance_only","BALANCED","ZINQ","detected_quantile_abundance","raw","available_fraction",100,1,0,1,1
"ABUND_BALANCED","abundance_only","BALANCED","MaAsLin 3","observed_prevalence","raw","available_fraction",100,1,0,1,1
"ABUND_BALANCED","abundance_only","BALANCED","ANCOM-BC2","general_abundance","raw","available_fraction",100,1,0,1,1
"ABUND_BALANCED","abundance_only","BALANCED","ZINQ","observed_prevalence","raw","available_fraction",100,1,0,1,1
"ABUND_FOURFOLD","abundance_only","FOURFOLD","DASRA","structural_absence","raw","available_fraction",100,0.9948,0.000926381032935055,0.992984326539486,0.996615673460514
"ABUND_FOURFOLD","abundance_only","FOURFOLD","edgeR","general_abundance","raw","available_fraction",100,0.7918,0.00681113170857201,0.77845042715724,0.80514957284276
"ABUND_FOURFOLD","abundance_only","FOURFOLD","DESeq2","general_abundance","raw","available_fraction",100,1,0,1,1
"ABUND_FOURFOLD","abundance_only","FOURFOLD","corncob","general_abundance","raw","available_fraction",100,1,0,1,1
"ABUND_FOURFOLD","abundance_only","FOURFOLD","MaAsLin 3","detected_log_abundance","raw","available_fraction",100,1,0,1,1
"ABUND_FOURFOLD","abundance_only","FOURFOLD","metagenomeSeq","general_abundance","raw","available_fraction",100,0.96,0.0196946385566932,0.921399217740347,0.998600782259653
"ABUND_FOURFOLD","abundance_only","FOURFOLD","DASRA","present_conditional_abundance","raw","available_fraction",100,0.9734,0.00210923893594085,0.969265967650766,0.977534032349234
"ABUND_FOURFOLD","abundance_only","FOURFOLD","LinDA","general_abundance","raw","available_fraction",100,1,0,1,1
"ABUND_FOURFOLD","abundance_only","FOURFOLD","ZINQ","detected_quantile_abundance","raw","available_fraction",100,1,0,1,1
"ABUND_FOURFOLD","abundance_only","FOURFOLD","MaAsLin 3","observed_prevalence","raw","available_fraction",100,1,0,1,1
"ABUND_FOURFOLD","abundance_only","FOURFOLD","ANCOM-BC2","general_abundance","raw","available_fraction",100,1,0,1,1
"ABUND_FOURFOLD","abundance_only","FOURFOLD","ZINQ","observed_prevalence","raw","available_fraction",100,1,0,1,1
"JOINT_BALANCED","joint","BALANCED","DASRA","structural_absence","raw","available_fraction",100,0.9966,0.000755050336137275,0.995120128534656,0.998079871465344
"JOINT_BALANCED","joint","BALANCED","edgeR","general_abundance","raw","available_fraction",100,0.8786,0.00556507870655043,0.86769264616403,0.88950735383597
"JOINT_BALANCED","joint","BALANCED","DESeq2","general_abundance","raw","available_fraction",100,1,0,1,1
"JOINT_BALANCED","joint","BALANCED","corncob","general_abundance","raw","available_fraction",100,1,0,1,1
"JOINT_BALANCED","joint","BALANCED","MaAsLin 3","detected_log_abundance","raw","available_fraction",100,1,0,1,1
"JOINT_BALANCED","joint","BALANCED","metagenomeSeq","general_abundance","raw","available_fraction",100,0.96,0.0196946385566932,0.921399217740347,0.998600782259653
"JOINT_BALANCED","joint","BALANCED","DASRA","present_conditional_abundance","raw","available_fraction",100,0.9806,0.0017855763294474,0.977100334702636,0.984099665297364
"JOINT_BALANCED","joint","BALANCED","LinDA","general_abundance","raw","available_fraction",100,1,0,1,1
"JOINT_BALANCED","joint","BALANCED","ZINQ","detected_quantile_abundance","raw","available_fraction",100,1,0,1,1
"JOINT_BALANCED","joint","BALANCED","MaAsLin 3","observed_prevalence","raw","available_fraction",100,1,0,1,1
"JOINT_BALANCED","joint","BALANCED","ANCOM-BC2","general_abundance","raw","available_fraction",100,1,0,1,1
"JOINT_BALANCED","joint","BALANCED","ZINQ","observed_prevalence","raw","available_fraction",100,1,0,1,1
"JOINT_FOURFOLD","joint","FOURFOLD","DASRA","structural_absence","raw","available_fraction",100,0.9966,0.000855404683011014,0.994923437629092,0.998276562370909
"JOINT_FOURFOLD","joint","FOURFOLD","edgeR","general_abundance","raw","available_fraction",100,0.793,0.00649708559371979,0.780265946231835,0.805734053768165
"JOINT_FOURFOLD","joint","FOURFOLD","DESeq2","general_abundance","raw","available_fraction",100,1,0,1,1
"JOINT_FOURFOLD","joint","FOURFOLD","corncob","general_abundance","raw","available_fraction",100,1,0,1,1
"JOINT_FOURFOLD","joint","FOURFOLD","MaAsLin 3","detected_log_abundance","raw","available_fraction",100,1,0,1,1
