"setting_id","method","n_replications","median_runtime_seconds","q25_runtime_seconds","q75_runtime_seconds"
"NULL_BALANCED","DASRA",100,73.9949999999999,72.5265000000003,75.5675000000001
"NULL_BALANCED","edgeR",100,0.243499999999813,0.232749999998759,0.258250000000032
"NULL_BALANCED","DESeq2",100,0.717499999999745,0.696749999999383,0.750249999999824
"NULL_BALANCED","corncob",100,0.862999999999715,0.828000000000316,1.02200000000016
"NULL_BALANCED","MaAsLin 3",100,0.860500000000286,0.825500000000034,0.895250000000004
"NULL_BALANCED","metagenomeSeq",100,0.0510000000008404,0.0477499999992688,0.0590000000000259
"NULL_BALANCED","LinDA",100,0.0149999999998727,0.0140000000001237,0.0160000000000764
"NULL_BALANCED","ZINQ",100,0.233999999999924,0.221000000000345,0.246999999999883
"NULL_BALANCED","ANCOM-BC2",100,3.29150000000004,2.92275000000086,3.61800000000028
"NULL_FOURFOLD","DASRA",100,73.4805,71.8204999999996,75.0467500000004
"NULL_FOURFOLD","edgeR",100,0.226999999999862,0.210750000000417,0.244999999999891
"NULL_FOURFOLD","DESeq2",100,0.702499999999418,0.680750000000216,0.747000000000007
"NULL_FOURFOLD","corncob",100,0.862500000000182,0.842999999999847,0.907750000000107
"NULL_FOURFOLD","MaAsLin 3",100,0.840000000000146,0.813750000000255,0.869500000000471
"NULL_FOURFOLD","metagenomeSeq",100,0.0505000000002838,0.0470000000004802,0.0579999999999927
"NULL_FOURFOLD","LinDA",100,0.0149999999996453,0.0140000000001237,0.0159999999996217
"NULL_FOURFOLD","ZINQ",100,0.224999999999966,0.214750000000095,0.238250000000789
"NULL_FOURFOLD","ANCOM-BC2",100,5.01849999999996,4.38224999999986,5.62250000000074
"STRUCT_BALANCED","DASRA",100,71.5109999999995,70.2314999999999,72.9309999999995
"STRUCT_BALANCED","MaAsLin 3",100,0.840000000000146,0.81475000000006,0.871749999999793
"STRUCT_BALANCED","ZINQ",100,0.227999999999923,0.21799999999962,0.245250000000624
"STRUCT_FOURFOLD","DASRA",100,71.7820000000002,70.2477499999998,73.6717500000004
"STRUCT_FOURFOLD","MaAsLin 3",100,0.831500000000233,0.806750000000136,0.874500000000069
"STRUCT_FOURFOLD","ZINQ",100,0.227499999999964,0.218500000000176,0.239499999999978
"ABUND_BALANCED","DASRA",100,71.6679999999997,70.5222499999998,73.2967500000007
"ABUND_BALANCED","edgeR",100,0.23599999999999,0.221000000000004,0.24799999999999
"ABUND_BALANCED","DESeq2",100,0.700000000000017,0.680500000000052,0.737000000000307
"ABUND_BALANCED","corncob",100,0.872000000000185,0.831750000000284,0.936500000000024
"ABUND_BALANCED","MaAsLin 3",100,0.844499999999243,0.816250000000082,0.869249999999965
"ABUND_BALANCED","metagenomeSeq",100,0.0500000000001819,0.0470000000004802,0.05925000000002
"ABUND_BALANCED","LinDA",100,0.0150000000001,0.0140000000001237,0.0159999999996217
"ABUND_BALANCED","ZINQ",100,0.225999999999658,0.21900000000096,0.240000000000009
"ABUND_BALANCED","ANCOM-BC2",100,3.41700000000037,3.03975000000014,3.80674999999962
"ABUND_FOURFOLD","DASRA",100,72.3505,70.4712500000002,73.8869999999998
"ABUND_FOURFOLD","edgeR",100,0.217499999999831,0.2037499999999,0.230999999999995
"ABUND_FOURFOLD","DESeq2",100,0.690500000000014,0.670000000000016,0.718249999999898
"ABUND_FOURFOLD","corncob",100,0.867500000000064,0.845000000000255,0.973499999999802
"ABUND_FOURFOLD","MaAsLin 3",100,0.842000000000269,0.814000000000306,0.877249999999961
"ABUND_FOURFOLD","metagenomeSeq",100,0.0500000000001819,0.0469999999995707,0.0570000000000164
"ABUND_FOURFOLD","LinDA",100,0.0149999999994179,0.0140000000001237,0.0150000000003274
"ABUND_FOURFOLD","ZINQ",100,0.228499999999713,0.220000000000255,0.23924999999997
"ABUND_FOURFOLD","ANCOM-BC2",100,5.19949999999972,4.60874999999984,5.81399999999999
"JOINT_BALANCED","DASRA",100,72.3925000000004,71.3862499999999,73.6212499999992
"JOINT_BALANCED","edgeR",100,0.234499999999855,0.222750000000019,0.250249999999824
"JOINT_BALANCED","DESeq2",100,0.707000000000221,0.685749999999757,0.744249999999852
"JOINT_BALANCED","corncob",100,0.854499999999689,0.835000000000036,0.912250000000199
"JOINT_BALANCED","MaAsLin 3",100,0.84900000000016,0.818749999999454,0.885999999999967
"JOINT_BALANCED","metagenomeSeq",100,0.0519999999999072,0.0470000000004802,0.0570000000001869
"JOINT_BALANCED","LinDA",100,0.0149999999998727,0.0140000000001237,0.0159999999996217
"JOINT_BALANCED","ZINQ",100,0.231499999999869,0.220000000000937,0.239999999999782
"JOINT_BALANCED","ANCOM-BC2",100,3.94500000000028,3.43200000000002,4.51124999999968
"JOINT_FOURFOLD","DASRA",100,72.3039999999999,70.7785,74.3269999999991
"JOINT_FOURFOLD","edgeR",100,0.21550000000002,0.199999999999818,0.229999999999563
"JOINT_FOURFOLD","DESeq2",100,0.697000000000116,0.671000000000276,0.718500000000347
"JOINT_FOURFOLD","corncob",100,0.865499999999884,0.842000000000553,0.917250000000138
"JOINT_FOURFOLD","MaAsLin 3",100,0.8449999999998,0.82449999999983,0.877249999999947
"JOINT_FOURFOLD","metagenomeSeq",100,0.0540000000000873,0.0470000000004802,0.0590000000000259
"JOINT_FOURFOLD","LinDA",100,0.0150000000003274,0.0140000000008058,0.0169999999998822
"JOINT_FOURFOLD","ZINQ",100,0.229999999999563,0.223750000000109,0.243999999999005
"JOINT_FOURFOLD","ANCOM-BC2",100,6.01950000000022,5.47325000000046,6.49249999999938
"ABUND40_SAME_BALANCED","DASRA",100,71.6629999999996,70.6552499999996,73.0949999999996
"ABUND40_SAME_BALANCED","edgeR",100,0.236499999999978,0.223750000000024,0.25
"ABUND40_SAME_BALANCED","DESeq2",100,0.693999999999733,0.680000000000234,0.730250000000979
"ABUND40_SAME_BALANCED","corncob",100,0.881000000000313,0.855250000000012,0.972499999999854
"ABUND40_SAME_BALANCED","MaAsLin 3",100,0.847999999999956,0.813000000000102,0.885250000000212
"ABUND40_SAME_BALANCED","metagenomeSeq",100,0.0500000000001819,0.0479999999997744,0.0559999999996705
"ABUND40_SAME_BALANCED","LinDA",100,0.0149999999998727,0.0140000000001237,0.0159999999996217
"ABUND40_SAME_BALANCED","ZINQ",100,0.230499999999893,0.222999999999956,0.244999999999891
"ABUND40_SAME_BALANCED","ANCOM-BC2",100,3.55849999999987,2.95724999999999,3.88450000000034
"ABUND60_SAME_BALANCED","DASRA",100,70.9770000000003,69.7897499999999,72.5745000000001
"ABUND60_SAME_BALANCED","edgeR",100,0.229500000000371,0.218749999999318,0.246999999999389
"ABUND60_SAME_BALANCED","DESeq2",100,0.681500000000142,0.657499999999573,0.722499999999854
