"setting_id","taxon","n_replications","mean_positive_control","mean_positive_case","probability_control_below_20","probability_case_below_20","probability_either_group_below_20"
"NULL_FOURFOLD","Taxon_029",100,59.2,75.19,0,0,0
"NULL_FOURFOLD","Taxon_030",100,57.96,78.48,0,0,0
"NULL_FOURFOLD","Taxon_031",100,34.87,47.1,0,0,0
"NULL_FOURFOLD","Taxon_032",100,49.3,69.09,0,0,0
"NULL_FOURFOLD","Taxon_033",100,36.32,52.51,0,0,0
"NULL_FOURFOLD","Taxon_034",100,31.93,45.91,0,0,0
"NULL_FOURFOLD","Taxon_035",100,40.56,57.97,0,0,0
"NULL_FOURFOLD","Taxon_036",100,28.91,40.66,0.01,0,0.01
"NULL_FOURFOLD","Taxon_037",100,29.58,44.91,0,0,0
"NULL_FOURFOLD","Taxon_038",100,45.02,66.7,0,0,0
"NULL_FOURFOLD","Taxon_039",100,33.17,39.88,0,0,0
"NULL_FOURFOLD","Taxon_040",100,27.83,32.35,0.04,0,0.04
"NULL_FOURFOLD","Taxon_041",100,52.07,77.91,0,0,0
"NULL_FOURFOLD","Taxon_042",100,38.91,61.01,0,0,0
"NULL_FOURFOLD","Taxon_043",100,30.74,47.19,0.01,0,0.01
"NULL_FOURFOLD","Taxon_044",100,35.37,41.81,0,0,0
"NULL_FOURFOLD","Taxon_045",100,45.33,67.2,0,0,0
"NULL_FOURFOLD","Taxon_046",100,36.59,58.84,0,0,0
"NULL_FOURFOLD","Taxon_047",100,39.92,64,0,0,0
"NULL_FOURFOLD","Taxon_048",100,29.39,49.13,0.03,0,0.03
"NULL_FOURFOLD","Taxon_049",100,42.43,70.7,0,0,0
"NULL_FOURFOLD","Taxon_050",100,35.29,55.74,0,0,0
"STRUCT_BALANCED","Taxon_001",100,38.32,39.41,0,0.02,0.02
"STRUCT_BALANCED","Taxon_002",100,69.35,68.08,0,0,0
"STRUCT_BALANCED","Taxon_003",100,102.3,101.88,0,0,0
"STRUCT_BALANCED","Taxon_004",100,91.67,92.27,0,0,0
"STRUCT_BALANCED","Taxon_005",100,68.21,68.2,0,0,0
"STRUCT_BALANCED","Taxon_006",100,103.56,102.62,0,0,0
"STRUCT_BALANCED","Taxon_007",100,71.86,70.83,0,0,0
"STRUCT_BALANCED","Taxon_008",100,106.91,106.16,0,0,0
"STRUCT_BALANCED","Taxon_009",100,79.36,77.46,0,0,0
"STRUCT_BALANCED","Taxon_010",100,56.36,55.75,0,0,0
