"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_bh_rejections","familywise_type_i_error"
"Qiita13631ASD","ASD Dan 2020",10,"fourfold","MaAsLin3",30,22,0.733333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",11,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",11,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",11,"balanced","MaAsLin3",30,17,0.566666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",11,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",11,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",11,"fourfold","MaAsLin3",30,23,0.766666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",12,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",12,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",12,"balanced","MaAsLin3",30,16,0.533333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",12,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",12,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",12,"fourfold","MaAsLin3",30,18,0.6,0,0
"Qiita13631ASD","ASD Dan 2020",13,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",13,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",13,"balanced","MaAsLin3",30,14,0.466666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",13,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",13,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",13,"fourfold","MaAsLin3",30,20,0.666666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",14,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",14,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",14,"balanced","MaAsLin3",30,18,0.6,0,0
"Qiita13631ASD","ASD Dan 2020",14,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",14,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",14,"fourfold","MaAsLin3",30,21,0.7,0,0
"Qiita13631ASD","ASD Dan 2020",15,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",15,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",15,"balanced","MaAsLin3",30,16,0.533333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",15,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",15,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",15,"fourfold","MaAsLin3",30,20,0.666666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",16,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",16,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",16,"balanced","MaAsLin3",30,15,0.5,0,0
"Qiita13631ASD","ASD Dan 2020",16,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",16,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",16,"fourfold","MaAsLin3",30,23,0.766666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",17,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",17,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",17,"balanced","MaAsLin3",30,17,0.566666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",17,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",17,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",17,"fourfold","MaAsLin3",30,24,0.8,0,0
"Qiita13631ASD","ASD Dan 2020",18,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",18,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",18,"balanced","MaAsLin3",30,16,0.533333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",18,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",18,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",18,"fourfold","MaAsLin3",30,23,0.766666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",19,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",19,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",19,"balanced","MaAsLin3",30,19,0.633333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",19,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",19,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",19,"fourfold","MaAsLin3",30,22,0.733333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",20,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",20,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",20,"balanced","MaAsLin3",30,18,0.6,0,0
"Qiita13631ASD","ASD Dan 2020",20,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",20,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",20,"fourfold","MaAsLin3",30,22,0.733333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",21,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",21,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",21,"balanced","MaAsLin3",30,17,0.566666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",21,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",21,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",21,"fourfold","MaAsLin3",30,20,0.666666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",22,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",22,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",22,"balanced","MaAsLin3",30,18,0.6,0,0
"Qiita13631ASD","ASD Dan 2020",22,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",22,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",22,"fourfold","MaAsLin3",30,19,0.633333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",23,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",23,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",23,"balanced","MaAsLin3",30,17,0.566666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",23,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",23,"fourfold","ZINQ",30,30,1,1,1
"Qiita13631ASD","ASD Dan 2020",23,"fourfold","MaAsLin3",30,24,0.8,0,0
"Qiita13631ASD","ASD Dan 2020",24,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",24,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",24,"balanced","MaAsLin3",30,15,0.5,0,0
"Qiita13631ASD","ASD Dan 2020",24,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",24,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",24,"fourfold","MaAsLin3",30,24,0.8,0,0
"Qiita13631ASD","ASD Dan 2020",25,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",25,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",25,"balanced","MaAsLin3",30,16,0.533333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",25,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",25,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",25,"fourfold","MaAsLin3",30,21,0.7,0,0
"Qiita13631ASD","ASD Dan 2020",26,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",26,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",26,"balanced","MaAsLin3",30,18,0.6,0,0
"Qiita13631ASD","ASD Dan 2020",26,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",26,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",26,"fourfold","MaAsLin3",30,23,0.766666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",27,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",27,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",27,"balanced","MaAsLin3",30,17,0.566666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",27,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",27,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",27,"fourfold","MaAsLin3",30,20,0.666666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",28,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",28,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",28,"balanced","MaAsLin3",30,15,0.5,0,0
"Qiita13631ASD","ASD Dan 2020",28,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",28,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",28,"fourfold","MaAsLin3",30,22,0.733333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",29,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",29,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",29,"balanced","MaAsLin3",30,16,0.533333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",29,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",29,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",29,"fourfold","MaAsLin3",30,21,0.7,0,0
"Qiita13631ASD","ASD Dan 2020",30,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",30,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",30,"balanced","MaAsLin3",30,16,0.533333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",30,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",30,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",30,"fourfold","MaAsLin3",30,20,0.666666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",31,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",31,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",31,"balanced","MaAsLin3",30,16,0.533333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",31,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",31,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",31,"fourfold","MaAsLin3",30,26,0.866666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",32,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",32,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",32,"balanced","MaAsLin3",30,16,0.533333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",32,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",32,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",32,"fourfold","MaAsLin3",30,21,0.7,0,0
"Qiita13631ASD","ASD Dan 2020",33,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",33,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",33,"balanced","MaAsLin3",30,14,0.466666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",33,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",33,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",33,"fourfold","MaAsLin3",30,23,0.766666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",34,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",34,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",34,"balanced","MaAsLin3",30,15,0.5,0,0
"Qiita13631ASD","ASD Dan 2020",34,"fourfold","SACAT",30,30,1,0,0
