perturbation,tested_component,samples_per_group,signal_taxa_percent,covariate_structure,target_effect,replications,rejection_probability,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Present-conditional abundance,Structural absence,120,40,Confounded,0,100,0,0,0,0,0
Present-conditional abundance,Structural absence,120,40,Confounded,0.1,100,0,0,0,0,0
Present-conditional abundance,Structural absence,120,40,Confounded,0.2,100,5e-04,0.005,5e-04,0,0.00148
Present-conditional abundance,Structural absence,120,40,Confounded,0.3,100,0,0,0,0,0
Present-conditional abundance,Structural absence,120,40,Confounded,0.4,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Present-conditional abundance,Structural absence,120,40,Confounded,0.5,100,0,0,0,0,0
Present-conditional abundance,Structural absence,120,40,Confounded,0.6,100,0,0,0,0,0
Present-conditional abundance,Structural absence,120,40,Confounded,0.75,100,5e-04,0.005,5e-04,0,0.00148
Present-conditional abundance,Structural absence,120,40,Confounded,0.9,100,0,0,0,0,0
Present-conditional abundance,Structural absence,120,40,Confounded,1.05,100,0,0,0,0,0
Present-conditional abundance,Structural absence,120,40,Confounded,1.2,100,0,0,0,0,0
Present-conditional abundance,Structural absence,120,40,Confounded,1.4,100,0.0015,0.00857233039988826,0.000857233039988827,0,0.0031801767583781
Structural absence,Present-conditional abundance,60,20,Unconfounded,0,100,0.003,0.0171446607997765,0.00171446607997765,0,0.0063603535167562
Structural absence,Present-conditional abundance,60,20,Unconfounded,0.1,100,0.001,0.01,0.001,0,0.00296
Structural absence,Present-conditional abundance,60,20,Unconfounded,0.2,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Structural absence,Present-conditional abundance,60,20,Unconfounded,0.3,100,0.004,0.0196946385566932,0.00196946385566932,0.000139850842888125,0.00786014915711188
Structural absence,Present-conditional abundance,60,20,Unconfounded,0.4,100,0.001,0.01,0.001,0,0.00296
Structural absence,Present-conditional abundance,60,20,Unconfounded,0.45,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Structural absence,Present-conditional abundance,60,20,Unconfounded,0.5,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Structural absence,Present-conditional abundance,80,20,Unconfounded,0,100,0.003,0.0171446607997765,0.00171446607997765,0,0.0063603535167562
Structural absence,Present-conditional abundance,80,20,Unconfounded,0.1,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Structural absence,Present-conditional abundance,80,20,Unconfounded,0.2,100,0.003,0.0222701503353614,0.00222701503353614,0,0.00736494946573083
Structural absence,Present-conditional abundance,80,20,Unconfounded,0.3,100,0.001,0.01,0.001,0,0.00296
Structural absence,Present-conditional abundance,80,20,Unconfounded,0.4,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Structural absence,Present-conditional abundance,80,20,Unconfounded,0.45,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Structural absence,Present-conditional abundance,80,20,Unconfounded,0.5,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Structural absence,Present-conditional abundance,120,20,Unconfounded,0,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Structural absence,Present-conditional abundance,120,20,Unconfounded,0.1,100,0.001,0.01,0.001,0,0.00296
Structural absence,Present-conditional abundance,120,20,Unconfounded,0.2,100,0.001,0.01,0.001,0,0.00296
Structural absence,Present-conditional abundance,120,20,Unconfounded,0.3,100,0.001,0.01,0.001,0,0.00296
Structural absence,Present-conditional abundance,120,20,Unconfounded,0.4,100,0,0,0,0,0
Structural absence,Present-conditional abundance,120,20,Unconfounded,0.45,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Structural absence,Present-conditional abundance,120,20,Unconfounded,0.5,100,0.001,0.01,0.001,0,0.00296
Structural absence,Present-conditional abundance,60,40,Unconfounded,0,100,0.0015,0.0111350751676807,0.00111350751676807,0,0.00368247473286541
Structural absence,Present-conditional abundance,60,40,Unconfounded,0.1,100,0.0025,0.0109521456778795,0.00109521456778795,0.000353379447135615,0.00464662055286439
Structural absence,Present-conditional abundance,60,40,Unconfounded,0.2,100,0.002,0.00984731927834662,0.000984731927834662,6.99254214440626e-05,0.00393007457855594
Structural absence,Present-conditional abundance,60,40,Unconfounded,0.3,100,0.0025,0.0109521456778795,0.00109521456778795,0.000353379447135615,0.00464662055286439
Structural absence,Present-conditional abundance,60,40,Unconfounded,0.4,100,0.0025,0.0109521456778795,0.00109521456778795,0.000353379447135615,0.00464662055286439
Structural absence,Present-conditional abundance,60,40,Unconfounded,0.45,100,5e-04,0.005,5e-04,0,0.00148
Structural absence,Present-conditional abundance,60,40,Unconfounded,0.5,100,0.0025,0.0109521456778795,0.00109521456778795,0.000353379447135615,0.00464662055286439
Structural absence,Present-conditional abundance,80,40,Unconfounded,0,100,0.0045,0.0143811745632331,0.00143811745632331,0.00168128978560632,0.00731871021439368
Structural absence,Present-conditional abundance,80,40,Unconfounded,0.1,100,0.003,0.0119341628287971,0.00119341628287971,0.000660904085555769,0.00533909591444423
Structural absence,Present-conditional abundance,80,40,Unconfounded,0.2,100,0.004,0.0136329962172145,0.00136329962172145,0.00132793274142595,0.00667206725857405
Structural absence,Present-conditional abundance,80,40,Unconfounded,0.3,100,0.0025,0.0109521456778795,0.00109521456778795,0.000353379447135615,0.00464662055286439
Structural absence,Present-conditional abundance,80,40,Unconfounded,0.4,100,0.0015,0.00857233039988826,0.000857233039988827,0,0.0031801767583781
