experiment,samples_per_group,signal_taxa_percent,covariate_structure,target_effect,method,measure,replications,estimate,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Abundance perturbation,80,20,Unconfounded,0.8,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.986,0.0348735088019777,0.00348735088019777,0.979164792274812,0.992835207725188
Abundance perturbation,80,20,Unconfounded,0.8,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.999,0.01,0.001,0.99704,1
Abundance perturbation,80,20,Unconfounded,0.8,DASRA,Power after Benjamini-Hochberg adjustment,100,0.997,0.0171446607997765,0.00171446607997765,0.993639646483244,1
Abundance perturbation,80,20,Unconfounded,0.8,LinDA,Power after Benjamini-Hochberg adjustment,100,0.693,0.160337396785905,0.0160337396785905,0.661573870229963,0.724426129770037
Abundance perturbation,80,20,Unconfounded,0.8,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.983,0.0427702341505507,0.00427702341505507,0.974617034106492,0.991382965893508
Abundance perturbation,80,20,Unconfounded,0.8,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.028,0.0604361253930565,0.00604361253930565,0.0161545194229609,0.0398454805770391
Abundance perturbation,120,20,Unconfounded,0.4,edgeR,Power after Benjamini-Hochberg adjustment,100,0.306,0.207836376979487,0.0207836376979487,0.26526407011202,0.34673592988798
Abundance perturbation,120,20,Unconfounded,0.4,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.499,0.194102440931992,0.0194102440931992,0.46095592157733,0.537044078422671
Abundance perturbation,120,20,Unconfounded,0.4,corncob,Power after Benjamini-Hochberg adjustment,100,0.668,0.161357874416973,0.0161357874416973,0.636373856614273,0.699626143385727
Abundance perturbation,120,20,Unconfounded,0.4,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.686,0.166981520782475,0.0166981520782475,0.653271621926635,0.718728378073365
Abundance perturbation,120,20,Unconfounded,0.4,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.872,0.0995748538294258,0.00995748538294258,0.852483328649433,0.891516671350568
Abundance perturbation,120,20,Unconfounded,0.4,DASRA,Power after Benjamini-Hochberg adjustment,100,0.788,0.124948474228865,0.0124948474228865,0.763510099051143,0.812489900948857
Abundance perturbation,120,20,Unconfounded,0.4,LinDA,Power after Benjamini-Hochberg adjustment,100,0.205,0.159782048523303,0.0159782048523303,0.173682718489433,0.236317281510567
Abundance perturbation,120,20,Unconfounded,0.4,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.625,0.176025135946116,0.0176025135946116,0.590499073354561,0.659500926645439
Abundance perturbation,120,20,Unconfounded,0.4,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0,0,0,0,0
Abundance perturbation,120,20,Unconfounded,0.8,edgeR,Power after Benjamini-Hochberg adjustment,100,0.74,0.112815214963553,0.0112815214963553,0.717888217867144,0.762111782132856
Abundance perturbation,120,20,Unconfounded,0.8,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.995,0.021904291355759,0.0021904291355759,0.990706758894271,0.999293241105729
Abundance perturbation,120,20,Unconfounded,0.8,corncob,Power after Benjamini-Hochberg adjustment,100,0.999,0.01,0.001,0.99704,1
Abundance perturbation,120,20,Unconfounded,0.8,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.998,0.014070529413629,0.0014070529413629,0.995242176234929,1
Abundance perturbation,120,20,Unconfounded,0.8,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,1,0,0,1,1
Abundance perturbation,120,20,Unconfounded,0.8,DASRA,Power after Benjamini-Hochberg adjustment,100,1,0,0,1,1
Abundance perturbation,120,20,Unconfounded,0.8,LinDA,Power after Benjamini-Hochberg adjustment,100,0.884,0.107044784359565,0.0107044784359565,0.863019222265525,0.904980777734475
Abundance perturbation,120,20,Unconfounded,0.8,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.999,0.01,0.001,0.99704,1
Abundance perturbation,120,20,Unconfounded,0.8,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.15,0.163608302869007,0.0163608302869007,0.117932772637675,0.182067227362325
Abundance perturbation,60,40,Unconfounded,0.4,edgeR,Power after Benjamini-Hochberg adjustment,100,0.0405,0.0495917678082102,0.00495917678082102,0.0307800135095908,0.0502199864904092
Abundance perturbation,60,40,Unconfounded,0.4,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.077,0.0697832140969228,0.00697832140969229,0.0633224900370031,0.0906775099629969
Abundance perturbation,60,40,Unconfounded,0.4,corncob,Power after Benjamini-Hochberg adjustment,100,0.292,0.113866836988021,0.0113866836988021,0.269682099950348,0.314317900049652
Abundance perturbation,60,40,Unconfounded,0.4,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.344,0.146211414663075,0.0146211414663075,0.315342562726037,0.372657437273963
Abundance perturbation,60,40,Unconfounded,0.4,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.5945,0.143353592648571,0.0143353592648571,0.56640269584088,0.62259730415912
Abundance perturbation,60,40,Unconfounded,0.4,DASRA,Power after Benjamini-Hochberg adjustment,100,0.44,0.143019388386839,0.0143019388386839,0.41196819987618,0.46803180012382
Abundance perturbation,60,40,Unconfounded,0.4,LinDA,Power after Benjamini-Hochberg adjustment,100,0.042,0.0589127072091164,0.00589127072091164,0.0304531093870132,0.0535468906129868
Abundance perturbation,60,40,Unconfounded,0.4,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.2755,0.153493822466422,0.0153493822466422,0.245415210796581,0.305584789203419
Abundance perturbation,60,40,Unconfounded,0.4,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0,0,0,0,0
Abundance perturbation,60,40,Unconfounded,0.8,edgeR,Power after Benjamini-Hochberg adjustment,100,0.689,0.103616425514315,0.0103616425514315,0.668691180599194,0.709308819400806
Abundance perturbation,60,40,Unconfounded,0.8,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.8515,0.0868805635526861,0.00868805635526861,0.834471409543674,0.868528590456327
Abundance perturbation,60,40,Unconfounded,0.8,corncob,Power after Benjamini-Hochberg adjustment,100,0.9455,0.0560009920547048,0.00560009920547048,0.934523805557278,0.956476194442722
Abundance perturbation,60,40,Unconfounded,0.8,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.964,0.0432750190378615,0.00432750190378615,0.955518096268579,0.972481903731421
Abundance perturbation,60,40,Unconfounded,0.8,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.987,0.0262274434110301,0.00262274434110301,0.981859421091438,0.992140578908562
Abundance perturbation,60,40,Unconfounded,0.8,DASRA,Power after Benjamini-Hochberg adjustment,100,0.9865,0.0273907379464761,0.00273907379464761,0.981131415362491,0.991868584637509
Abundance perturbation,60,40,Unconfounded,0.8,LinDA,Power after Benjamini-Hochberg adjustment,100,0.429,0.121268547472379,0.0121268547472379,0.405231364695414,0.452768635304586
Abundance perturbation,60,40,Unconfounded,0.8,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.962,0.0432983541805861,0.00432983541805861,0.953513522580605,0.970486477419395
Abundance perturbation,60,40,Unconfounded,0.8,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.007,0.0201258665664489,0.00201258665664489,0.00305533015297602,0.010944669847024
Abundance perturbation,80,40,Unconfounded,0.4,edgeR,Power after Benjamini-Hochberg adjustment,100,0.1335,0.118716834815821,0.0118716834815821,0.110231500376099,0.156768499623901
Abundance perturbation,80,40,Unconfounded,0.4,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.1865,0.125901797549767,0.0125901797549767,0.161823247680246,0.211176752319754
Abundance perturbation,80,40,Unconfounded,0.4,corncob,Power after Benjamini-Hochberg adjustment,100,0.4465,0.134887719862473,0.0134887719862473,0.420062006906955,0.472937993093045
Abundance perturbation,80,40,Unconfounded,0.4,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.537,0.136629706753973,0.0136629706753973,0.510220577476221,0.563779422523779
Abundance perturbation,80,40,Unconfounded,0.4,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.754,0.099919159243052,0.0099919159243052,0.734415844788362,0.773584155211638
Abundance perturbation,80,40,Unconfounded,0.4,DASRA,Power after Benjamini-Hochberg adjustment,100,0.6085,0.126542004045608,0.0126542004045608,0.583697767207061,0.633302232792939
Abundance perturbation,80,40,Unconfounded,0.4,LinDA,Power after Benjamini-Hochberg adjustment,100,0.0845,0.0836946711553249,0.00836946711553249,0.0680958444535563,0.100904155546444
Abundance perturbation,80,40,Unconfounded,0.4,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.489,0.149000033896003,0.0149000033896003,0.459795993356383,0.518204006643617
Abundance perturbation,80,40,Unconfounded,0.4,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,5e-04,0.005,5e-04,0,0.00148
Abundance perturbation,80,40,Unconfounded,0.8,edgeR,Power after Benjamini-Hochberg adjustment,100,0.807,0.0721320338201433,0.00721320338201433,0.792862121371252,0.821137878628748
Abundance perturbation,80,40,Unconfounded,0.8,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.94,0.0476731294622796,0.00476731294622796,0.930656066625393,0.949343933374607
Abundance perturbation,80,40,Unconfounded,0.8,corncob,Power after Benjamini-Hochberg adjustment,100,0.9865,0.0273907379464761,0.00273907379464761,0.981131415362491,0.991868584637509
Abundance perturbation,80,40,Unconfounded,0.8,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.995,0.0150755672288882,0.00150755672288882,0.992045188823138,0.997954811176862
Abundance perturbation,80,40,Unconfounded,0.8,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.999,0.00703526470681449,0.000703526470681449,0.997621088117464,1
Abundance perturbation,80,40,Unconfounded,0.8,DASRA,Power after Benjamini-Hochberg adjustment,100,0.999,0.00703526470681449,0.000703526470681449,0.997621088117464,1
Abundance perturbation,80,40,Unconfounded,0.8,LinDA,Power after Benjamini-Hochberg adjustment,100,0.556,0.122738121480844,0.0122738121480844,0.531943328189755,0.580056671810246
Abundance perturbation,80,40,Unconfounded,0.8,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.993,0.0174367544009889,0.00174367544009889,0.989582396137406,0.996417603862594
Abundance perturbation,80,40,Unconfounded,0.8,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.021,0.0396830880192995,0.00396830880192995,0.0132221147482173,0.0287778852517827
Abundance perturbation,120,40,Unconfounded,0.4,edgeR,Power after Benjamini-Hochberg adjustment,100,0.3635,0.154045611768237,0.0154045611768237,0.333307060093425,0.393692939906575
Abundance perturbation,120,40,Unconfounded,0.4,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.433,0.134881167302664,0.0134881167302664,0.406563291208678,0.459436708791322
Abundance perturbation,120,40,Unconfounded,0.4,corncob,Power after Benjamini-Hochberg adjustment,100,0.688,0.112168704110452,0.0112168704110452,0.666014933994351,0.709985066005649
Abundance perturbation,120,40,Unconfounded,0.4,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.7835,0.0934887774823883,0.00934887774823883,0.765176199613452,0.801823800386548
Abundance perturbation,120,40,Unconfounded,0.4,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.903,0.0580925767611274,0.00580925767611274,0.891613854954819,0.914386145045181
Abundance perturbation,120,40,Unconfounded,0.4,DASRA,Power after Benjamini-Hochberg adjustment,100,0.8215,0.0820368850277149,0.00820368850277149,0.805420770534568,0.837579229465432
Abundance perturbation,120,40,Unconfounded,0.4,LinDA,Power after Benjamini-Hochberg adjustment,100,0.1565,0.106755408161447,0.0106755408161447,0.135575940000356,0.177424059999644
Abundance perturbation,120,40,Unconfounded,0.4,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.7555,0.104662758081817,0.0104662758081817,0.734986099415964,0.776013900584036
Abundance perturbation,120,40,Unconfounded,0.4,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Abundance perturbation,120,40,Unconfounded,0.8,edgeR,Power after Benjamini-Hochberg adjustment,100,0.86,0.053654336998866,0.0053654336998866,0.849483749948222,0.870516250051778
Abundance perturbation,120,40,Unconfounded,0.8,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.9905,0.022127956630617,0.0022127956630617,0.986162920500399,0.994837079499601
Abundance perturbation,120,40,Unconfounded,0.8,corncob,Power after Benjamini-Hochberg adjustment,100,0.999,0.00703526470681449,0.000703526470681449,0.997621088117464,1
Abundance perturbation,120,40,Unconfounded,0.8,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.9975,0.0109521456778795,0.00109521456778795,0.995353379447136,0.999646620552864
Abundance perturbation,120,40,Unconfounded,0.8,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.9995,0.005,5e-04,0.99852,1
Abundance perturbation,120,40,Unconfounded,0.8,DASRA,Power after Benjamini-Hochberg adjustment,100,1,0,0,1,1
Abundance perturbation,120,40,Unconfounded,0.8,LinDA,Power after Benjamini-Hochberg adjustment,100,0.7605,0.0868340458296832,0.00868340458296832,0.743480527017382,0.777519472982618
Abundance perturbation,120,40,Unconfounded,0.8,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.999,0.00703526470681449,0.000703526470681449,0.997621088117464,1
Abundance perturbation,120,40,Unconfounded,0.8,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.1235,0.111113510075112,0.0111113510075112,0.101721752025278,0.145278247974722
Abundance perturbation,60,20,Confounded,0.4,edgeR,Power after Benjamini-Hochberg adjustment,100,0.031,0.0662029325848054,0.00662029325848054,0.0180242252133782,0.0439757747866219
Abundance perturbation,60,20,Confounded,0.4,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.09,0.119341628287971,0.0119341628287971,0.0666090408555577,0.113390959144442
Abundance perturbation,60,20,Confounded,0.4,corncob,Power after Benjamini-Hochberg adjustment,100,0.204,0.149693289121727,0.0149693289121727,0.174660115332142,0.233339884667858
Abundance perturbation,60,20,Confounded,0.4,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.199,0.146676996881384,0.0146676996881384,0.170251308611249,0.227748691388751
Abundance perturbation,60,20,Confounded,0.4,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.411,0.192219886714369,0.0192219886714369,0.373324902203984,0.448675097796016
Abundance perturbation,60,20,Confounded,0.4,DASRA,Power after Benjamini-Hochberg adjustment,100,0.298,0.171729173674449,0.0171729173674449,0.264341081959808,0.331658918040192
Abundance perturbation,60,20,Confounded,0.4,LinDA,Power after Benjamini-Hochberg adjustment,100,0.043,0.0714284271282814,0.00714284271282814,0.0290000282828569,0.0569999717171432
