component_family,null_mechanism,samples_per_group,covariate_structure,method,method_component,tested_component,replications,familywise_type_i_error,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Abundance,Depth-imbalanced null,80,Unconfounded,corncob,corncob,General abundance,100,0.09,0.239738915228103,0.0239738915228103,0.0430111726152919,0.136988827384708
Abundance,Depth-imbalanced null,80,Unconfounded,MaAsLin 3,MaAsLin 3 abundance,Detected log abundance,100,0.03,0.119341628287971,0.0119341628287971,0.00660904085555771,0.0533909591444423
Abundance,Depth-imbalanced null,80,Unconfounded,metagenomeSeq,metagenomeSeq,General abundance,100,0.915,0.213851170752753,0.0213851170752753,0.87308517053246,0.95691482946754
Abundance,Depth-imbalanced null,80,Unconfounded,SACAT,SACAT present-conditional abundance,Present-conditional abundance,100,0.075,0.192996048528137,0.0192996048528137,0.0371727744884852,0.112827225511515
Abundance,Depth-imbalanced null,80,Unconfounded,LinDA,LinDA,General abundance,100,0.305,0.361639085668057,0.0361639085668057,0.234118739209061,0.375881260790939
Abundance,Depth-imbalanced null,80,Unconfounded,ZINQ,ZINQ quantile abundance,Detected-sample quantile abundance,100,0.04,0.136329962172145,0.0136329962172146,0.0132793274142595,0.0667206725857405
Abundance,Depth-imbalanced null,80,Unconfounded,ANCOM-BC2,ANCOM-BC2,General abundance,100,0,0,0,0,0
Abundance,Correlated-community null,80,Unconfounded,edgeR,edgeR,General abundance,100,0,0,0,0,0
Abundance,Correlated-community null,80,Unconfounded,DESeq2,DESeq2,General abundance,100,0.02,0.0984731927834661,0.00984731927834661,0.000699254214440628,0.0393007457855594
Abundance,Correlated-community null,80,Unconfounded,corncob,corncob,General abundance,100,0.05,0.18118576883487,0.018118576883487,0.0144875893083655,0.0855124106916344
Abundance,Correlated-community null,80,Unconfounded,MaAsLin 3,MaAsLin 3 abundance,Detected log abundance,100,0.05,0.150755672288882,0.0150755672288882,0.0204518882313792,0.0795481117686208
Abundance,Correlated-community null,80,Unconfounded,metagenomeSeq,metagenomeSeq,General abundance,100,0.32,0.351906782882035,0.0351906782882035,0.251026270555121,0.388973729444879
Abundance,Correlated-community null,80,Unconfounded,SACAT,SACAT present-conditional abundance,Present-conditional abundance,100,0.07,0.201258665664489,0.0201258665664489,0.0305533015297601,0.10944669847024
Abundance,Correlated-community null,80,Unconfounded,LinDA,LinDA,General abundance,100,0.065,0.209074439404058,0.0209074439404058,0.0240214098768047,0.105978590123195
Abundance,Correlated-community null,80,Unconfounded,ZINQ,ZINQ quantile abundance,Detected-sample quantile abundance,100,0.065,0.168998834494815,0.0168998834494815,0.0318762284390162,0.0981237715609838
Abundance,Correlated-community null,80,Unconfounded,ANCOM-BC2,ANCOM-BC2,General abundance,100,0.005,0.05,0.005,0,0.0148
Abundance,Taxonwise global null,120,Unconfounded,edgeR,edgeR,General abundance,100,0.02,0.121439181269781,0.0121439181269781,0,0.0438020795288771
Abundance,Taxonwise global null,120,Unconfounded,DESeq2,DESeq2,General abundance,100,0.02,0.121439181269781,0.0121439181269781,0,0.0438020795288771
Abundance,Taxonwise global null,120,Unconfounded,corncob,corncob,General abundance,100,0.06,0.191748994176441,0.0191748994176441,0.0224171971414176,0.0975828028585824
Abundance,Taxonwise global null,120,Unconfounded,MaAsLin 3,MaAsLin 3 abundance,Detected log abundance,100,0.035,0.128216199988121,0.0128216199988121,0.00986962480232818,0.0601303751976718
