component_family,null_mechanism,samples_per_group,covariate_structure,method,method_component,tested_component,replications,familywise_type_i_error,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Structural or prevalence,Correlated-community null,60,Unconfounded,SACAT,SACAT structural absence,Structural absence,100,0.02,0.14070529413629,0.014070529413629,0,0.0475782376507127
Structural or prevalence,Correlated-community null,60,Unconfounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.03,0.156023826204315,0.0156023826204315,0,0.0605806699360458
Structural or prevalence,Correlated-community null,60,Unconfounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.035,0.162912258717397,0.0162912258717397,0.00306919729139023,0.0669308027086097
Structural or prevalence,Taxonwise global null,80,Unconfounded,SACAT,SACAT structural absence,Structural absence,100,0.045,0.175450358457395,0.0175450358457395,0.0106117297423506,0.0793882702576494
Structural or prevalence,Taxonwise global null,80,Unconfounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.045,0.175450358457395,0.0175450358457395,0.0106117297423507,0.0793882702576494
Structural or prevalence,Taxonwise global null,80,Unconfounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.075,0.228908256511184,0.0228908256511184,0.0301339817238079,0.119866018276192
Structural or prevalence,Depth-imbalanced null,80,Unconfounded,SACAT,SACAT structural absence,Structural absence,100,0.04,0.169371983181601,0.0169371983181601,0.00680309129640615,0.0731969087035938
Structural or prevalence,Depth-imbalanced null,80,Unconfounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.035,0.146594334781051,0.0146594334781051,0.00626751038291392,0.0637324896170861
Structural or prevalence,Depth-imbalanced null,80,Unconfounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.05,0.166666666666667,0.0166666666666667,0.0173333333333333,0.0826666666666666
Structural or prevalence,Correlated-community null,80,Unconfounded,SACAT,SACAT structural absence,Structural absence,100,0.05,0.194624736040381,0.0194624736040381,0.0118535517360854,0.0881464482639146
Structural or prevalence,Correlated-community null,80,Unconfounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.03,0.138898989531707,0.0138898989531707,0.00277579805178538,0.0572242019482146
Structural or prevalence,Correlated-community null,80,Unconfounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.055,0.199684093942751,0.0199684093942751,0.0158619175872208,0.0941380824127792
Structural or prevalence,Taxonwise global null,120,Unconfounded,SACAT,SACAT structural absence,Structural absence,100,0.015,0.0857233039988826,0.00857233039988826,0,0.031801767583781
Structural or prevalence,Taxonwise global null,120,Unconfounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.025,0.109521456778795,0.0109521456778795,0.00353379447135615,0.0464662055286439
Structural or prevalence,Taxonwise global null,120,Unconfounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.025,0.109521456778795,0.0109521456778795,0.00353379447135615,0.0464662055286439
Structural or prevalence,Depth-imbalanced null,120,Unconfounded,SACAT,SACAT structural absence,Structural absence,100,0.025,0.109521456778795,0.0109521456778795,0.00353379447135611,0.0464662055286439
Structural or prevalence,Depth-imbalanced null,120,Unconfounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.03,0.156023826204315,0.0156023826204315,0,0.0605806699360458
Structural or prevalence,Depth-imbalanced null,120,Unconfounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.055,0.199684093942751,0.0199684093942751,0.0158619175872208,0.0941380824127792
Structural or prevalence,Correlated-community null,120,Unconfounded,SACAT,SACAT structural absence,Structural absence,100,0.04,0.153741222957162,0.0153741222957162,0.00986672030039635,0.0701332796996037
Structural or prevalence,Correlated-community null,120,Unconfounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.03,0.138898989531707,0.0138898989531707,0.00277579805178541,0.0572242019482146
Structural or prevalence,Correlated-community null,120,Unconfounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.03,0.138898989531707,0.0138898989531707,0.00277579805178541,0.0572242019482146
Structural or prevalence,Taxonwise global null,60,Confounded,SACAT,SACAT structural absence,Structural absence,100,0.035,0.146594334781051,0.0146594334781051,0.00626751038291393,0.0637324896170861
Structural or prevalence,Taxonwise global null,60,Confounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.02,0.121439181269781,0.0121439181269781,0,0.0438020795288771
Structural or prevalence,Taxonwise global null,60,Confounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.06,0.191748994176441,0.0191748994176441,0.0224171971414175,0.0975828028585824
Structural or prevalence,Depth-imbalanced null,60,Confounded,SACAT,SACAT structural absence,Structural absence,100,0.04,0.1836773631599,0.01836773631599,0.00399923682065963,0.0760007631793403
Structural or prevalence,Depth-imbalanced null,60,Confounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.04,0.1836773631599,0.01836773631599,0.00399923682065965,0.0760007631793403
Structural or prevalence,Depth-imbalanced null,60,Confounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.055,0.211953396821666,0.0211953396821666,0.0134571342229535,0.0965428657770465
Structural or prevalence,Correlated-community null,60,Confounded,SACAT,SACAT structural absence,Structural absence,100,0.04,0.1836773631599,0.01836773631599,0.00399923682065966,0.0760007631793403
Structural or prevalence,Correlated-community null,60,Confounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.03,0.156023826204315,0.0156023826204315,0,0.0605806699360458
Structural or prevalence,Correlated-community null,60,Confounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.045,0.189296944860009,0.0189296944860009,0.00789779880743818,0.0821022011925618
Structural or prevalence,Taxonwise global null,80,Confounded,SACAT,SACAT structural absence,Structural absence,100,0.015,0.0857233039988826,0.00857233039988826,0,0.031801767583781
Structural or prevalence,Taxonwise global null,80,Confounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.02,0.0984731927834662,0.00984731927834662,0.000699254214440614,0.0393007457855594
Structural or prevalence,Taxonwise global null,80,Confounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.05,0.166666666666667,0.0166666666666667,0.0173333333333333,0.0826666666666667
Structural or prevalence,Depth-imbalanced null,80,Confounded,SACAT,SACAT structural absence,Structural absence,100,0.015,0.0857233039988827,0.00857233039988827,0,0.031801767583781
Structural or prevalence,Depth-imbalanced null,80,Confounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.015,0.0857233039988827,0.00857233039988827,0,0.031801767583781
Structural or prevalence,Depth-imbalanced null,80,Confounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.03,0.119341628287971,0.0119341628287971,0.00660904085555769,0.0533909591444423
Structural or prevalence,Correlated-community null,80,Confounded,SACAT,SACAT structural absence,Structural absence,100,0.03,0.156023826204315,0.0156023826204315,0,0.0605806699360457
Structural or prevalence,Correlated-community null,80,Confounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.03,0.138898989531707,0.0138898989531707,0.00277579805178538,0.0572242019482146
Structural or prevalence,Correlated-community null,80,Confounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.05,0.194624736040381,0.0194624736040381,0.0118535517360854,0.0881464482639146
Structural or prevalence,Taxonwise global null,120,Confounded,SACAT,SACAT structural absence,Structural absence,100,0.015,0.0857233039988826,0.00857233039988826,0,0.031801767583781
Structural or prevalence,Taxonwise global null,120,Confounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.02,0.0984731927834661,0.00984731927834661,0.000699254214440635,0.0393007457855594
Structural or prevalence,Taxonwise global null,120,Confounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.025,0.130558241966774,0.0130558241966774,0,0.0505894154254876
Structural or prevalence,Depth-imbalanced null,120,Confounded,SACAT,SACAT structural absence,Structural absence,100,0.045,0.175450358457395,0.0175450358457395,0.0106117297423506,0.0793882702576494
Structural or prevalence,Depth-imbalanced null,120,Confounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.045,0.175450358457395,0.0175450358457395,0.0106117297423506,0.0793882702576494
Structural or prevalence,Depth-imbalanced null,120,Confounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.05,0.18118576883487,0.018118576883487,0.0144875893083656,0.0855124106916344
Structural or prevalence,Correlated-community null,120,Confounded,SACAT,SACAT structural absence,Structural absence,100,0.03,0.119341628287971,0.0119341628287971,0.00660904085555767,0.0533909591444423
Structural or prevalence,Correlated-community null,120,Confounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.015,0.111350751676807,0.0111350751676807,0,0.0368247473286541
Structural or prevalence,Correlated-community null,120,Confounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.02,0.121439181269781,0.0121439181269781,0,0.0438020795288771
