experiment,samples_per_group,signal_taxa_percent,covariate_structure,target_difference,method,tested_quantity,replications,rejection_probability,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Observed-prevalence perturbation,60,20,Confounded,0.28,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,20,Confounded,0.28,MaAsLin 3,Observed prevalence,100,0.563,0.199319549538631,0.0199319549538631,0.523933368290428,0.602066631709572
Observed-prevalence perturbation,60,20,Confounded,0.28,ZINQ,Observed prevalence,100,0.597,0.19460137967059,0.019460137967059,0.558858129584564,0.635141870415436
Observed-prevalence perturbation,60,20,Confounded,0.32,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,20,Confounded,0.32,MaAsLin 3,Observed prevalence,100,0.758,0.168283070803904,0.0168283070803904,0.725016518122435,0.790983481877565
Observed-prevalence perturbation,60,20,Confounded,0.32,ZINQ,Observed prevalence,100,0.783,0.162091756032617,0.0162091756032617,0.751230015817607,0.814769984182393
Observed-prevalence perturbation,80,20,Confounded,0,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,20,Confounded,0,MaAsLin 3,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,80,20,Confounded,0,ZINQ,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,80,20,Confounded,0.04,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,20,Confounded,0.04,MaAsLin 3,Observed prevalence,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Observed-prevalence perturbation,80,20,Confounded,0.04,ZINQ,Observed prevalence,100,0.004,0.0196946385566932,0.00196946385566932,0.000139850842888125,0.00786014915711188
Observed-prevalence perturbation,80,20,Confounded,0.08,SACAT,Structural absence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,80,20,Confounded,0.08,MaAsLin 3,Observed prevalence,100,0.008,0.0272659924344291,0.00272659924344291,0.0026558654828519,0.0133441345171481
Observed-prevalence perturbation,80,20,Confounded,0.08,ZINQ,Observed prevalence,100,0.015,0.0358870281282637,0.00358870281282637,0.00796614248686032,0.0220338575131397
Observed-prevalence perturbation,80,20,Confounded,0.12,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,20,Confounded,0.12,MaAsLin 3,Observed prevalence,100,0.037,0.0719918626153559,0.00719918626153559,0.0228895949273902,0.0511104050726098
Observed-prevalence perturbation,80,20,Confounded,0.12,ZINQ,Observed prevalence,100,0.045,0.0729950876996722,0.00729950876996722,0.0306929628108643,0.0593070371891357
Observed-prevalence perturbation,80,20,Confounded,0.16,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,20,Confounded,0.16,MaAsLin 3,Observed prevalence,100,0.135,0.143107644728708,0.0143107644728708,0.106950901633173,0.163049098366827
Observed-prevalence perturbation,80,20,Confounded,0.16,ZINQ,Observed prevalence,100,0.157,0.153908670281693,0.0153908670281693,0.126833900624788,0.187166099375212
Observed-prevalence perturbation,80,20,Confounded,0.2,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,20,Confounded,0.2,MaAsLin 3,Observed prevalence,100,0.324,0.187552012987751,0.0187552012987751,0.287239805454401,0.360760194545599
Observed-prevalence perturbation,80,20,Confounded,0.2,ZINQ,Observed prevalence,100,0.351,0.192534924025998,0.0192534924025998,0.313263154890904,0.388736845109096
Observed-prevalence perturbation,80,20,Confounded,0.24,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,20,Confounded,0.24,MaAsLin 3,Observed prevalence,100,0.548,0.193573518516111,0.0193573518516111,0.510059590370842,0.585940409629158
Observed-prevalence perturbation,80,20,Confounded,0.24,ZINQ,Observed prevalence,100,0.578,0.180672145729286,0.0180672145729286,0.54258825943706,0.61341174056294
Observed-prevalence perturbation,80,20,Confounded,0.28,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,20,Confounded,0.28,MaAsLin 3,Observed prevalence,100,0.775,0.129782257429259,0.0129782257429259,0.749562677543865,0.800437322456135
Observed-prevalence perturbation,80,20,Confounded,0.28,ZINQ,Observed prevalence,100,0.79,0.126730446462585,0.0126730446462585,0.765160832493334,0.814839167506667
Observed-prevalence perturbation,80,20,Confounded,0.32,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,20,Confounded,0.32,MaAsLin 3,Observed prevalence,100,0.91,0.094815077861588,0.0094815077861588,0.891416244739129,0.928583755260871
Observed-prevalence perturbation,80,20,Confounded,0.32,ZINQ,Observed prevalence,100,0.915,0.0925235432774062,0.00925235432774062,0.896865385517628,0.933134614482372
Observed-prevalence perturbation,120,20,Confounded,0,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,20,Confounded,0,MaAsLin 3,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,120,20,Confounded,0,ZINQ,Observed prevalence,100,0.002,0.02,0.002,0,0.00592
Observed-prevalence perturbation,120,20,Confounded,0.04,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,20,Confounded,0.04,MaAsLin 3,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,120,20,Confounded,0.04,ZINQ,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,120,20,Confounded,0.08,SACAT,Structural absence,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Observed-prevalence perturbation,120,20,Confounded,0.08,MaAsLin 3,Observed prevalence,100,0.018,0.0386122919665369,0.00386122919665369,0.0104319907745588,0.0255680092254412
Observed-prevalence perturbation,120,20,Confounded,0.08,ZINQ,Observed prevalence,100,0.028,0.055194788218315,0.0055194788218315,0.0171818215092103,0.0388181784907897
Observed-prevalence perturbation,120,20,Confounded,0.12,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,20,Confounded,0.12,MaAsLin 3,Observed prevalence,100,0.089,0.119675487140108,0.0119675487140108,0.0655436045205388,0.112456395479461
Observed-prevalence perturbation,120,20,Confounded,0.12,ZINQ,Observed prevalence,100,0.103,0.12748935388312,0.012748935388312,0.0780120866389085,0.127987913361092
Observed-prevalence perturbation,120,20,Confounded,0.16,SACAT,Structural absence,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Observed-prevalence perturbation,120,20,Confounded,0.16,MaAsLin 3,Observed prevalence,100,0.335,0.206155281280883,0.0206155281280883,0.294593564868947,0.375406435131053
Observed-prevalence perturbation,120,20,Confounded,0.16,ZINQ,Observed prevalence,100,0.362,0.205863542133613,0.0205863542133613,0.321650745741812,0.402349254258188
Observed-prevalence perturbation,120,20,Confounded,0.2,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,20,Confounded,0.2,MaAsLin 3,Observed prevalence,100,0.611,0.183068679500731,0.0183068679500731,0.575118538817857,0.646881461182143
Observed-prevalence perturbation,120,20,Confounded,0.2,ZINQ,Observed prevalence,100,0.635,0.183333333333333,0.0183333333333333,0.599066666666667,0.670933333333333
Observed-prevalence perturbation,120,20,Confounded,0.24,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,20,Confounded,0.24,MaAsLin 3,Observed prevalence,100,0.847,0.115867391984339,0.0115867391984339,0.824289991171069,0.86971000882893
Observed-prevalence perturbation,120,20,Confounded,0.24,ZINQ,Observed prevalence,100,0.855,0.108595254467814,0.0108595254467814,0.833715330124309,0.876284669875692
Observed-prevalence perturbation,120,20,Confounded,0.28,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,20,Confounded,0.28,MaAsLin 3,Observed prevalence,100,0.958,0.0622474696252584,0.00622474696252585,0.945799495953449,0.970200504046551
Observed-prevalence perturbation,120,20,Confounded,0.28,ZINQ,Observed prevalence,100,0.96,0.0603022689155527,0.00603022689155527,0.948180755292552,0.971819244707448
Observed-prevalence perturbation,120,20,Confounded,0.32,SACAT,Structural absence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,120,20,Confounded,0.32,MaAsLin 3,Observed prevalence,100,0.987,0.0337997668989631,0.00337997668989631,0.980375245687803,0.993624754312197
Observed-prevalence perturbation,120,20,Confounded,0.32,ZINQ,Observed prevalence,100,0.988,0.032659863237109,0.0032659863237109,0.981598666805527,0.994401333194473
Observed-prevalence perturbation,60,40,Confounded,0,SACAT,Structural absence,100,0.002,0.00984731927834662,0.000984731927834662,6.99254214440626e-05,0.00393007457855594
Observed-prevalence perturbation,60,40,Confounded,0,MaAsLin 3,Observed prevalence,100,0.002,0.00984731927834662,0.000984731927834662,6.99254214440626e-05,0.00393007457855594
Observed-prevalence perturbation,60,40,Confounded,0,ZINQ,Observed prevalence,100,0.003,0.0119341628287971,0.00119341628287971,0.000660904085555769,0.00533909591444423
Observed-prevalence perturbation,60,40,Confounded,0.04,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,40,Confounded,0.04,MaAsLin 3,Observed prevalence,100,0.0025,0.0109521456778795,0.00109521456778795,0.000353379447135615,0.00464662055286439
Observed-prevalence perturbation,60,40,Confounded,0.04,ZINQ,Observed prevalence,100,0.0035,0.0146594334781051,0.00146594334781051,0.000626751038291392,0.00637324896170861
Observed-prevalence perturbation,60,40,Confounded,0.08,SACAT,Structural absence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,60,40,Confounded,0.08,MaAsLin 3,Observed prevalence,100,0.005,0.018118576883487,0.0018118576883487,0.00144875893083655,0.00855124106916345
Observed-prevalence perturbation,60,40,Confounded,0.08,ZINQ,Observed prevalence,100,0.01,0.0246182981958666,0.00246182981958666,0.00517481355361016,0.0148251864463898
Observed-prevalence perturbation,60,40,Confounded,0.12,SACAT,Structural absence,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Observed-prevalence perturbation,60,40,Confounded,0.12,MaAsLin 3,Observed prevalence,100,0.0225,0.0385173449057156,0.00385173449057156,0.0149506003984797,0.0300493996015203
Observed-prevalence perturbation,60,40,Confounded,0.12,ZINQ,Observed prevalence,100,0.0325,0.0428616519994413,0.00428616519994413,0.0240991162081095,0.0409008837918905
Observed-prevalence perturbation,60,40,Confounded,0.16,SACAT,Structural absence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,60,40,Confounded,0.16,MaAsLin 3,Observed prevalence,100,0.065,0.0824192289027827,0.00824192289027827,0.0488458311350546,0.0811541688649454
Observed-prevalence perturbation,60,40,Confounded,0.16,ZINQ,Observed prevalence,100,0.089,0.100146357543811,0.0100146357543811,0.0693713139214129,0.108628686078587
Observed-prevalence perturbation,60,40,Confounded,0.2,SACAT,Structural absence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,60,40,Confounded,0.2,MaAsLin 3,Observed prevalence,100,0.206,0.139855625412766,0.0139855625412766,0.178588297419098,0.233411702580902
Observed-prevalence perturbation,60,40,Confounded,0.2,ZINQ,Observed prevalence,100,0.253,0.14316410023452,0.014316410023452,0.224939836354034,0.281060163645966
Observed-prevalence perturbation,60,40,Confounded,0.24,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,40,Confounded,0.24,MaAsLin 3,Observed prevalence,100,0.47,0.148901703051769,0.0148901703051769,0.440815266201853,0.499184733798147
Observed-prevalence perturbation,60,40,Confounded,0.24,ZINQ,Observed prevalence,100,0.492,0.141906214583343,0.0141906214583343,0.464186381941665,0.519813618058335
Observed-prevalence perturbation,60,40,Confounded,0.28,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,40,Confounded,0.28,MaAsLin 3,Observed prevalence,100,0.676,0.125223033347736,0.0125223033347736,0.651456285463844,0.700543714536156
Observed-prevalence perturbation,60,40,Confounded,0.28,ZINQ,Observed prevalence,100,0.6915,0.109879410484789,0.0109879410484789,0.669963635544981,0.713036364455019
Observed-prevalence perturbation,60,40,Confounded,0.32,SACAT,Structural absence,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Observed-prevalence perturbation,60,40,Confounded,0.32,MaAsLin 3,Observed prevalence,100,0.827,0.0894483655580699,0.00894483655580699,0.809468120350618,0.844531879649382
Observed-prevalence perturbation,60,40,Confounded,0.32,ZINQ,Observed prevalence,100,0.836,0.0876402195387944,0.00876402195387944,0.818822516970396,0.853177483029604
Observed-prevalence perturbation,80,40,Confounded,0,SACAT,Structural absence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,80,40,Confounded,0,MaAsLin 3,Observed prevalence,100,0,0,0,0,0
Observed-prevalence perturbation,80,40,Confounded,0,ZINQ,Observed prevalence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,80,40,Confounded,0.04,SACAT,Structural absence,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Observed-prevalence perturbation,80,40,Confounded,0.04,MaAsLin 3,Observed prevalence,100,0.003,0.0138898989531707,0.00138898989531707,0.00027757980517854,0.00572242019482146
Observed-prevalence perturbation,80,40,Confounded,0.04,ZINQ,Observed prevalence,100,0.003,0.0138898989531707,0.00138898989531707,0.00027757980517854,0.00572242019482146
Observed-prevalence perturbation,80,40,Confounded,0.08,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,40,Confounded,0.08,MaAsLin 3,Observed prevalence,100,0.006,0.0178093154605032,0.00178093154605032,0.00250937416974138,0.00949062583025862
Observed-prevalence perturbation,80,40,Confounded,0.08,ZINQ,Observed prevalence,100,0.0125,0.0287579589334883,0.00287579589334883,0.00686344004903629,0.0181365599509637
Observed-prevalence perturbation,80,40,Confounded,0.12,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,40,Confounded,0.12,MaAsLin 3,Observed prevalence,100,0.037,0.057568580094887,0.0057568580094887,0.0257165583014022,0.0482834416985979
Observed-prevalence perturbation,80,40,Confounded,0.12,ZINQ,Observed prevalence,100,0.048,0.0635323825805678,0.00635323825805678,0.0355476530142087,0.0604523469857913
Observed-prevalence perturbation,80,40,Confounded,0.16,SACAT,Structural absence,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Observed-prevalence perturbation,80,40,Confounded,0.16,MaAsLin 3,Observed prevalence,100,0.1695,0.134820306895939,0.0134820306895939,0.143075219848396,0.195924780151604
Observed-prevalence perturbation,80,40,Confounded,0.16,ZINQ,Observed prevalence,100,0.1955,0.136162224993394,0.0136162224993394,0.168812203901295,0.222187796098705
Observed-prevalence perturbation,80,40,Confounded,0.2,SACAT,Structural absence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,80,40,Confounded,0.2,MaAsLin 3,Observed prevalence,100,0.406,0.157678870691752,0.0157678870691752,0.375094941344417,0.436905058655583
Observed-prevalence perturbation,80,40,Confounded,0.2,ZINQ,Observed prevalence,100,0.4285,0.160689015168927,0.0160689015168927,0.39700495302689,0.45999504697311
Observed-prevalence perturbation,80,40,Confounded,0.24,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,40,Confounded,0.24,MaAsLin 3,Observed prevalence,100,0.661,0.136807023270597,0.0136807023270597,0.634185823438963,0.687814176561037
Observed-prevalence perturbation,80,40,Confounded,0.24,ZINQ,Observed prevalence,100,0.672,0.137679176187089,0.0137679176187089,0.645014881467331,0.69898511853267
Observed-prevalence perturbation,80,40,Confounded,0.28,SACAT,Structural absence,100,0.002,0.00984731927834662,0.000984731927834662,6.99254214440626e-05,0.00393007457855594
Observed-prevalence perturbation,80,40,Confounded,0.28,MaAsLin 3,Observed prevalence,100,0.8435,0.090357035915273,0.0090357035915273,0.825790020960607,0.861209979039394
Observed-prevalence perturbation,80,40,Confounded,0.28,ZINQ,Observed prevalence,100,0.8485,0.0883218974873025,0.00883218974873025,0.831188908092489,0.865811091907511
Observed-prevalence perturbation,80,40,Confounded,0.32,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,40,Confounded,0.32,MaAsLin 3,Observed prevalence,100,0.942,0.0530484817326699,0.00530484817326699,0.931602497580397,0.952397502419603
Observed-prevalence perturbation,80,40,Confounded,0.32,ZINQ,Observed prevalence,100,0.9475,0.0504399833385373,0.00504399833385373,0.937613763265647,0.957386236734353
Observed-prevalence perturbation,120,40,Confounded,0,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,40,Confounded,0,MaAsLin 3,Observed prevalence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,120,40,Confounded,0,ZINQ,Observed prevalence,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Observed-prevalence perturbation,120,40,Confounded,0.04,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,40,Confounded,0.04,MaAsLin 3,Observed prevalence,100,0.004,0.0136329962172145,0.00136329962172145,0.00132793274142595,0.00667206725857405
Observed-prevalence perturbation,120,40,Confounded,0.04,ZINQ,Observed prevalence,100,0.005,0.0150755672288882,0.00150755672288882,0.00204518882313792,0.00795481117686208
Observed-prevalence perturbation,120,40,Confounded,0.08,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,40,Confounded,0.08,MaAsLin 3,Observed prevalence,100,0.0325,0.0625126249875038,0.00625126249875038,0.0202475255024493,0.0447524744975507
Observed-prevalence perturbation,120,40,Confounded,0.08,ZINQ,Observed prevalence,100,0.0355,0.064859989067361,0.0064859989067361,0.0227874421427973,0.0482125578572028
Observed-prevalence perturbation,120,40,Confounded,0.12,SACAT,Structural absence,100,0.0015,0.00857233039988826,0.000857233039988827,0,0.0031801767583781
Observed-prevalence perturbation,120,40,Confounded,0.12,MaAsLin 3,Observed prevalence,100,0.134,0.118892192911703,0.0118892192911703,0.110697130189306,0.157302869810694
Observed-prevalence perturbation,120,40,Confounded,0.12,ZINQ,Observed prevalence,100,0.1485,0.122979632049335,0.0122979632049335,0.12439599211833,0.17260400788167
Observed-prevalence perturbation,120,40,Confounded,0.16,SACAT,Structural absence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,120,40,Confounded,0.16,MaAsLin 3,Observed prevalence,100,0.3965,0.156388373072691,0.0156388373072691,0.365847878877753,0.427152121122248
Observed-prevalence perturbation,120,40,Confounded,0.16,ZINQ,Observed prevalence,100,0.414,0.154246293932526,0.0154246293932526,0.383767726389225,0.444232273610775
Observed-prevalence perturbation,120,40,Confounded,0.2,SACAT,Structural absence,100,0.0015,0.00857233039988826,0.000857233039988827,0,0.0031801767583781
Observed-prevalence perturbation,120,40,Confounded,0.2,MaAsLin 3,Observed prevalence,100,0.6985,0.128207336810813,0.0128207336810813,0.673371361985081,0.723628638014919
Observed-prevalence perturbation,120,40,Confounded,0.2,ZINQ,Observed prevalence,100,0.7085,0.123920592039068,0.0123920592039068,0.684211563960343,0.732788436039657
Observed-prevalence perturbation,120,40,Confounded,0.24,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,40,Confounded,0.24,MaAsLin 3,Observed prevalence,100,0.8745,0.0821107283926511,0.00821107283926511,0.85840629723504,0.89059370276496
Observed-prevalence perturbation,120,40,Confounded,0.24,ZINQ,Observed prevalence,100,0.88,0.0807164884961649,0.00807164884961649,0.864179568254752,0.895820431745248
Observed-prevalence perturbation,120,40,Confounded,0.28,SACAT,Structural absence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,120,40,Confounded,0.28,MaAsLin 3,Observed prevalence,100,0.967,0.0409606857581484,0.00409606857581484,0.958971705591403,0.975028294408597
Observed-prevalence perturbation,120,40,Confounded,0.28,ZINQ,Observed prevalence,100,0.9685,0.0406108658396053,0.00406108658396053,0.960540270295437,0.976459729704563
Observed-prevalence perturbation,120,40,Confounded,0.32,SACAT,Structural absence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,120,40,Confounded,0.32,MaAsLin 3,Observed prevalence,100,0.9905,0.0197138622201831,0.00197138622201831,0.986636083004844,0.994363916995156
Observed-prevalence perturbation,120,40,Confounded,0.32,ZINQ,Observed prevalence,100,0.9905,0.0197138622201831,0.00197138622201831,0.986636083004844,0.994363916995156
Structural perturbation with matched prevalence,60,20,Unconfounded,0,SACAT,Structural absence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,60,20,Unconfounded,0,MaAsLin 3,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,60,20,Unconfounded,0,ZINQ,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,60,20,Unconfounded,0.05,SACAT,Structural absence,100,0.005,0.021904291355759,0.0021904291355759,0.00070675889427123,0.00929324110572877
Structural perturbation with matched prevalence,60,20,Unconfounded,0.05,MaAsLin 3,Observed prevalence,100,0,0,0,0,0
Structural perturbation with matched prevalence,60,20,Unconfounded,0.05,ZINQ,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,60,20,Unconfounded,0.1,SACAT,Structural absence,100,0.009,0.0287623491264661,0.00287623491264661,0.00336257957121264,0.0146374204287874
Structural perturbation with matched prevalence,60,20,Unconfounded,0.1,MaAsLin 3,Observed prevalence,100,0,0,0,0,0
Structural perturbation with matched prevalence,60,20,Unconfounded,0.1,ZINQ,Observed prevalence,100,0,0,0,0,0
Structural perturbation with matched prevalence,60,20,Unconfounded,0.15,SACAT,Structural absence,100,0.025,0.0557320429022713,0.00557320429022713,0.0140765195911548,0.0359234804088452
Structural perturbation with matched prevalence,60,20,Unconfounded,0.15,MaAsLin 3,Observed prevalence,100,0,0,0,0,0
Structural perturbation with matched prevalence,60,20,Unconfounded,0.15,ZINQ,Observed prevalence,100,0,0,0,0,0
Structural perturbation with matched prevalence,60,20,Unconfounded,0.2,SACAT,Structural absence,100,0.049,0.0797660721273541,0.00797660721273541,0.0333658498630386,0.0646341501369614
Structural perturbation with matched prevalence,60,20,Unconfounded,0.2,MaAsLin 3,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,60,20,Unconfounded,0.2,ZINQ,Observed prevalence,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Structural perturbation with matched prevalence,60,20,Unconfounded,0.25,SACAT,Structural absence,100,0.103,0.110513036846932,0.0110513036846932,0.0813394447780014,0.124660555221999
Structural perturbation with matched prevalence,60,20,Unconfounded,0.25,MaAsLin 3,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,60,20,Unconfounded,0.25,ZINQ,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,60,20,Unconfounded,0.3,SACAT,Structural absence,100,0.179,0.152616903362371,0.0152616903362371,0.149087086940975,0.208912913059025
Structural perturbation with matched prevalence,60,20,Unconfounded,0.3,MaAsLin 3,Observed prevalence,100,0,0,0,0,0
Structural perturbation with matched prevalence,60,20,Unconfounded,0.3,ZINQ,Observed prevalence,100,0,0,0,0,0
Structural perturbation with matched prevalence,60,20,Unconfounded,0.35,SACAT,Structural absence,100,0.252,0.182286266153769,0.0182286266153769,0.216271891833861,0.287728108166139
Structural perturbation with matched prevalence,60,20,Unconfounded,0.35,MaAsLin 3,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,60,20,Unconfounded,0.35,ZINQ,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,60,20,Unconfounded,0.4,SACAT,Structural absence,100,0.366,0.192914907708455,0.0192914907708455,0.328188678089143,0.403811321910857
Structural perturbation with matched prevalence,60,20,Unconfounded,0.4,MaAsLin 3,Observed prevalence,100,0,0,0,0,0
Structural perturbation with matched prevalence,60,20,Unconfounded,0.4,ZINQ,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,60,20,Unconfounded,0.45,SACAT,Structural absence,100,0.427,0.199926754264423,0.0199926754264423,0.387814356164173,0.466185643835827
Structural perturbation with matched prevalence,60,20,Unconfounded,0.45,MaAsLin 3,Observed prevalence,100,0,0,0,0,0
Structural perturbation with matched prevalence,60,20,Unconfounded,0.45,ZINQ,Observed prevalence,100,0,0,0,0,0
Structural perturbation with matched prevalence,60,20,Unconfounded,0.5,SACAT,Structural absence,100,0.503,0.222227020150225,0.0222227020150225,0.459443504050556,0.546556495949444
Structural perturbation with matched prevalence,60,20,Unconfounded,0.5,MaAsLin 3,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,60,20,Unconfounded,0.5,ZINQ,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,80,20,Unconfounded,0,SACAT,Structural absence,100,0.003,0.0171446607997765,0.00171446607997765,0,0.0063603535167562
Structural perturbation with matched prevalence,80,20,Unconfounded,0,MaAsLin 3,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,80,20,Unconfounded,0,ZINQ,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,80,20,Unconfounded,0.05,SACAT,Structural absence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,80,20,Unconfounded,0.05,MaAsLin 3,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,80,20,Unconfounded,0.05,ZINQ,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,80,20,Unconfounded,0.1,SACAT,Structural absence,100,0.006,0.0238683256575942,0.00238683256575942,0.00132180817111154,0.0106781918288885
Structural perturbation with matched prevalence,80,20,Unconfounded,0.1,MaAsLin 3,Observed prevalence,100,0,0,0,0,0
Structural perturbation with matched prevalence,80,20,Unconfounded,0.1,ZINQ,Observed prevalence,100,0,0,0,0,0
Structural perturbation with matched prevalence,80,20,Unconfounded,0.15,SACAT,Structural absence,100,0.037,0.0630135467237567,0.00630135467237567,0.0246493448421437,0.0493506551578563
Structural perturbation with matched prevalence,80,20,Unconfounded,0.15,MaAsLin 3,Observed prevalence,100,0,0,0,0,0
Structural perturbation with matched prevalence,80,20,Unconfounded,0.15,ZINQ,Observed prevalence,100,0,0,0,0,0
Structural perturbation with matched prevalence,80,20,Unconfounded,0.2,SACAT,Structural absence,100,0.083,0.108297196770197,0.0108297196770197,0.0617737494330413,0.104226250566959
Structural perturbation with matched prevalence,80,20,Unconfounded,0.2,MaAsLin 3,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,80,20,Unconfounded,0.2,ZINQ,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,80,20,Unconfounded,0.25,SACAT,Structural absence,100,0.188,0.163472420680775,0.0163472420680775,0.155959405546568,0.220040594453432
Structural perturbation with matched prevalence,80,20,Unconfounded,0.25,MaAsLin 3,Observed prevalence,100,0,0,0,0,0
Structural perturbation with matched prevalence,80,20,Unconfounded,0.25,ZINQ,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,80,20,Unconfounded,0.3,SACAT,Structural absence,100,0.255,0.189829801494269,0.0189829801494269,0.217793358907123,0.292206641092877
Structural perturbation with matched prevalence,80,20,Unconfounded,0.3,MaAsLin 3,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,80,20,Unconfounded,0.3,ZINQ,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Structural perturbation with matched prevalence,80,20,Unconfounded,0.35,SACAT,Structural absence,100,0.397,0.176643794974605,0.0176643794974605,0.362377816184977,0.431622183815023
