experiment,samples_per_group,signal_taxa_percent,covariate_structure,target_difference,method,tested_quantity,replications,rejection_probability,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Observed-prevalence perturbation,80,20,Unconfounded,0.2,ZINQ,Observed prevalence,100,0.455,0.214322988581121,0.0214322988581121,0.4129926942381,0.4970073057619
Observed-prevalence perturbation,80,20,Unconfounded,0.24,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,20,Unconfounded,0.24,MaAsLin 3,Observed prevalence,100,0.654,0.18500341247194,0.018500341247194,0.6177393311555,0.6902606688445
Observed-prevalence perturbation,80,20,Unconfounded,0.24,ZINQ,Observed prevalence,100,0.676,0.183743343176334,0.0183743343176334,0.639986304737439,0.712013695262562
Observed-prevalence perturbation,80,20,Unconfounded,0.28,SACAT,Structural absence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,80,20,Unconfounded,0.28,MaAsLin 3,Observed prevalence,100,0.852,0.143181738015049,0.0143181738015049,0.82393637934905,0.88006362065095
Observed-prevalence perturbation,80,20,Unconfounded,0.28,ZINQ,Observed prevalence,100,0.872,0.129552454179141,0.0129552454179141,0.846607718980888,0.897392281019112
Observed-prevalence perturbation,80,20,Unconfounded,0.32,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,20,Unconfounded,0.32,MaAsLin 3,Observed prevalence,100,0.943,0.0768771813355628,0.00768771813355628,0.92793207245823,0.95806792754177
Observed-prevalence perturbation,80,20,Unconfounded,0.32,ZINQ,Observed prevalence,100,0.946,0.077093672525275,0.0077093672525275,0.930889640185046,0.961110359814954
Observed-prevalence perturbation,120,20,Unconfounded,0,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,20,Unconfounded,0,MaAsLin 3,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,120,20,Unconfounded,0,ZINQ,Observed prevalence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,120,20,Unconfounded,0.04,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,20,Unconfounded,0.04,MaAsLin 3,Observed prevalence,100,0.008,0.0272659924344291,0.00272659924344291,0.0026558654828519,0.0133441345171481
Observed-prevalence perturbation,120,20,Unconfounded,0.04,ZINQ,Observed prevalence,100,0.009,0.0287623491264661,0.00287623491264661,0.00336257957121264,0.0146374204287874
Observed-prevalence perturbation,120,20,Unconfounded,0.08,SACAT,Structural absence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,120,20,Unconfounded,0.08,MaAsLin 3,Observed prevalence,100,0.035,0.0672324476737388,0.00672324476737388,0.0218224402559472,0.0481775597440528
Observed-prevalence perturbation,120,20,Unconfounded,0.08,ZINQ,Observed prevalence,100,0.042,0.0741006686265994,0.00741006686265994,0.0274762689491865,0.0565237310508135
Observed-prevalence perturbation,120,20,Unconfounded,0.12,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,20,Unconfounded,0.12,MaAsLin 3,Observed prevalence,100,0.152,0.135199067595852,0.0135199067595852,0.125500982751213,0.178499017248787
Observed-prevalence perturbation,120,20,Unconfounded,0.12,ZINQ,Observed prevalence,100,0.17,0.142488702369803,0.0142488702369803,0.142072214335519,0.197927785664481
Observed-prevalence perturbation,120,20,Unconfounded,0.16,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,20,Unconfounded,0.16,MaAsLin 3,Observed prevalence,100,0.422,0.190469913316481,0.0190469913316481,0.38466789698997,0.45933210301003
Observed-prevalence perturbation,120,20,Unconfounded,0.16,ZINQ,Observed prevalence,100,0.44,0.196946385566932,0.0196946385566932,0.401398508428881,0.478601491571119
Observed-prevalence perturbation,120,20,Unconfounded,0.2,SACAT,Structural absence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,120,20,Unconfounded,0.2,MaAsLin 3,Observed prevalence,100,0.728,0.18427033281447,0.018427033281447,0.691883014768364,0.764116985231636
Observed-prevalence perturbation,120,20,Unconfounded,0.2,ZINQ,Observed prevalence,100,0.745,0.175450358457395,0.0175450358457395,0.710611729742351,0.779388270257649
Observed-prevalence perturbation,120,20,Unconfounded,0.24,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,20,Unconfounded,0.24,MaAsLin 3,Observed prevalence,100,0.898,0.0942594742444943,0.00942594742444943,0.879525143048079,0.916474856951921
Observed-prevalence perturbation,120,20,Unconfounded,0.24,ZINQ,Observed prevalence,100,0.903,0.0936951859958017,0.00936951859958017,0.884635743544823,0.921364256455177
Observed-prevalence perturbation,120,20,Unconfounded,0.28,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,20,Unconfounded,0.28,MaAsLin 3,Observed prevalence,100,0.974,0.0579445921340012,0.00579445921340012,0.962642859941736,0.985357140058264
Observed-prevalence perturbation,120,20,Unconfounded,0.28,ZINQ,Observed prevalence,100,0.975,0.0557320429022713,0.00557320429022713,0.964076519591155,0.985923480408845
Observed-prevalence perturbation,120,20,Unconfounded,0.32,SACAT,Structural absence,100,0.004,0.0196946385566932,0.00196946385566932,0.000139850842888125,0.00786014915711188
Observed-prevalence perturbation,120,20,Unconfounded,0.32,MaAsLin 3,Observed prevalence,100,0.995,0.021904291355759,0.0021904291355759,0.990706758894271,0.999293241105729
Observed-prevalence perturbation,120,20,Unconfounded,0.32,ZINQ,Observed prevalence,100,0.995,0.021904291355759,0.0021904291355759,0.990706758894271,0.999293241105729
Observed-prevalence perturbation,60,40,Unconfounded,0,SACAT,Structural absence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,60,40,Unconfounded,0,MaAsLin 3,Observed prevalence,100,0,0,0,0,0
Observed-prevalence perturbation,60,40,Unconfounded,0,ZINQ,Observed prevalence,100,0,0,0,0,0
Observed-prevalence perturbation,60,40,Unconfounded,0.04,SACAT,Structural absence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,60,40,Unconfounded,0.04,MaAsLin 3,Observed prevalence,100,0.005,0.018118576883487,0.0018118576883487,0.00144875893083655,0.00855124106916345
Observed-prevalence perturbation,60,40,Unconfounded,0.04,ZINQ,Observed prevalence,100,0.006,0.0204494943258218,0.00204494943258218,0.00199189911213893,0.0100081008878611
Observed-prevalence perturbation,60,40,Unconfounded,0.08,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,40,Unconfounded,0.08,MaAsLin 3,Observed prevalence,100,0.007,0.0213437474581095,0.00213437474581095,0.00281662549821054,0.0111833745017895
Observed-prevalence perturbation,60,40,Unconfounded,0.08,ZINQ,Observed prevalence,100,0.0105,0.0249190608964222,0.00249190608964222,0.00561586406430126,0.0153841359356987
Observed-prevalence perturbation,60,40,Unconfounded,0.12,SACAT,Structural absence,100,0.0015,0.00857233039988826,0.000857233039988827,0,0.0031801767583781
Observed-prevalence perturbation,60,40,Unconfounded,0.12,MaAsLin 3,Observed prevalence,100,0.0315,0.0562529460507976,0.00562529460507976,0.0204744225740437,0.0425255774259563
Observed-prevalence perturbation,60,40,Unconfounded,0.12,ZINQ,Observed prevalence,100,0.0415,0.0611567781619627,0.00611567781619627,0.0295132714802553,0.0534867285197447
Observed-prevalence perturbation,60,40,Unconfounded,0.16,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,40,Unconfounded,0.16,MaAsLin 3,Observed prevalence,100,0.099,0.101249766180052,0.0101249766180052,0.0791550458287099,0.11884495417129
Observed-prevalence perturbation,60,40,Unconfounded,0.16,ZINQ,Observed prevalence,100,0.1255,0.110438748506659,0.0110438748506659,0.103854005292695,0.147145994707305
Observed-prevalence perturbation,60,40,Unconfounded,0.2,SACAT,Structural absence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,60,40,Unconfounded,0.2,MaAsLin 3,Observed prevalence,100,0.292,0.14208405536118,0.014208405536118,0.264151525149209,0.319848474850791
Observed-prevalence perturbation,60,40,Unconfounded,0.2,ZINQ,Observed prevalence,100,0.3225,0.136214143646293,0.0136214143646293,0.295802027845327,0.349197972154673
Observed-prevalence perturbation,60,40,Unconfounded,0.24,SACAT,Structural absence,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Observed-prevalence perturbation,60,40,Unconfounded,0.24,MaAsLin 3,Observed prevalence,100,0.574,0.164298324379585,0.0164298324379585,0.541797528421601,0.606202471578399
Observed-prevalence perturbation,60,40,Unconfounded,0.24,ZINQ,Observed prevalence,100,0.5945,0.155032580479398,0.0155032580479398,0.564113614226038,0.624886385773962
Observed-prevalence perturbation,60,40,Unconfounded,0.28,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,40,Unconfounded,0.28,MaAsLin 3,Observed prevalence,100,0.7605,0.11198281794611,0.011198281794611,0.738551367682562,0.782448632317438
Observed-prevalence perturbation,60,40,Unconfounded,0.28,ZINQ,Observed prevalence,100,0.772,0.111309923142095,0.0111309923142095,0.75018325506415,0.793816744935851
Observed-prevalence perturbation,60,40,Unconfounded,0.32,SACAT,Structural absence,100,0.0015,0.00857233039988826,0.000857233039988827,0,0.0031801767583781
Observed-prevalence perturbation,60,40,Unconfounded,0.32,MaAsLin 3,Observed prevalence,100,0.9035,0.0759635079854435,0.00759635079854435,0.888611152434853,0.918388847565147
Observed-prevalence perturbation,60,40,Unconfounded,0.32,ZINQ,Observed prevalence,100,0.9085,0.0728409780330281,0.00728409780330281,0.894223168305527,0.922776831694473
Observed-prevalence perturbation,80,40,Unconfounded,0,SACAT,Structural absence,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Observed-prevalence perturbation,80,40,Unconfounded,0,MaAsLin 3,Observed prevalence,100,0,0,0,0,0
Observed-prevalence perturbation,80,40,Unconfounded,0,ZINQ,Observed prevalence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,80,40,Unconfounded,0.04,SACAT,Structural absence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,80,40,Unconfounded,0.04,MaAsLin 3,Observed prevalence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,80,40,Unconfounded,0.04,ZINQ,Observed prevalence,100,0.002,0.00984731927834662,0.000984731927834662,6.99254214440626e-05,0.00393007457855594
Observed-prevalence perturbation,80,40,Unconfounded,0.08,SACAT,Structural absence,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Observed-prevalence perturbation,80,40,Unconfounded,0.08,MaAsLin 3,Observed prevalence,100,0.017,0.0356894574592746,0.00356894574592746,0.0100048663379822,0.0239951336620178
Observed-prevalence perturbation,80,40,Unconfounded,0.08,ZINQ,Observed prevalence,100,0.019,0.0360835170406129,0.00360835170406129,0.0119276306600399,0.0260723693399601
Observed-prevalence perturbation,80,40,Unconfounded,0.12,SACAT,Structural absence,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Observed-prevalence perturbation,80,40,Unconfounded,0.12,MaAsLin 3,Observed prevalence,100,0.0725,0.0760033890791401,0.00760033890791401,0.0576033357404886,0.0873966642595115
Observed-prevalence perturbation,80,40,Unconfounded,0.12,ZINQ,Observed prevalence,100,0.082,0.0811906348781631,0.00811906348781631,0.06608663556388,0.09791336443612
Observed-prevalence perturbation,80,40,Unconfounded,0.16,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,40,Unconfounded,0.16,MaAsLin 3,Observed prevalence,100,0.242,0.130407287396298,0.0130407287396298,0.216440171670326,0.267559828329674
Observed-prevalence perturbation,80,40,Unconfounded,0.16,ZINQ,Observed prevalence,100,0.2755,0.132286611094046,0.0132286611094046,0.249571824225567,0.301428175774433
Observed-prevalence perturbation,80,40,Unconfounded,0.2,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,40,Unconfounded,0.2,MaAsLin 3,Observed prevalence,100,0.5385,0.143874068110787,0.0143874068110787,0.510300682650286,0.566699317349714
Observed-prevalence perturbation,80,40,Unconfounded,0.2,ZINQ,Observed prevalence,100,0.552,0.143534038478753,0.0143534038478753,0.523867328458164,0.580132671541836
Observed-prevalence perturbation,80,40,Unconfounded,0.24,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,80,40,Unconfounded,0.24,MaAsLin 3,Observed prevalence,100,0.7595,0.110026397199981,0.0110026397199981,0.737934826148804,0.781065173851196
Observed-prevalence perturbation,80,40,Unconfounded,0.24,ZINQ,Observed prevalence,100,0.77,0.104446593573419,0.0104446593573419,0.74952846765961,0.79047153234039
Observed-prevalence perturbation,80,40,Unconfounded,0.28,SACAT,Structural absence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,80,40,Unconfounded,0.28,MaAsLin 3,Observed prevalence,100,0.914,0.0647762270895704,0.00647762270895704,0.901303859490444,0.926696140509556
Observed-prevalence perturbation,80,40,Unconfounded,0.28,ZINQ,Observed prevalence,100,0.9175,0.0600399698517411,0.00600399698517411,0.905732165909059,0.929267834090941
