"candidate_native_effect","candidate_fold_change","direction","median_absolute_mapped_effect","q25_absolute_mapped_effect","q75_absolute_mapped_effect","min_absolute_mapped_effect","max_absolute_mapped_effect","passes_gate"
0.405465108108164,1.5,"positive",0.202041424801171,0.128223325989872,0.266677638903765,0.0752342342170795,0.371080787452491,FALSE
0.405465108108164,1.5,"negative",0.235482389731167,0.173323529430534,0.306009063862036,0.0413106890995536,0.388195813695217,FALSE
0.693147180559945,2,"positive",0.336898606160117,0.241817314999608,0.454990893321562,0.128533217796637,0.547065571877438,TRUE
0.693147180559945,2,"negative",0.38544582646218,0.319929606935377,0.506449185027824,0.154054929526438,0.628521905743913,TRUE
0.916290731874155,2.5,"positive",0.433117999873426,0.309203021697539,0.596098398165006,0.165347656092835,0.708702544626606,TRUE
0.916290731874155,2.5,"negative",0.529217302230291,0.454737208358524,0.683425286052562,0.223408344943299,0.819584147070032,TRUE
1.09861228866811,3,"positive",0.510377171649711,0.362421196891972,0.677690765635094,0.192701645984284,0.838669666554621,TRUE
1.09861228866811,3,"negative",0.656453639566605,0.551646185755463,0.827194096426213,0.284547478657204,0.978468800749923,FALSE
