"source_feature","pi0","mu","sigma","expected_absolute_abundance","expected_detection_at_1500","within_pi0_range","passes_detection"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium",0.98744769874477,-2.02092156015399,0.973961897473879,0.00267321894710841,0.000399192814046889,FALSE,FALSE
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum",0.347280334728033,1.62421201121928,1.76641007238304,15.763651290189,0.340289215666076,TRUE,TRUE
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum",0.820083682008368,1.35854856796309,1.47752556975824,2.08511922604199,0.0868103990708903,TRUE,FALSE
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis",0.95397489539749,-0.84717379908223,2.13756745760576,0.193758108692596,0.008469522592744,FALSE,FALSE
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens",0.435146443514644,-0.840891184628514,1.5058741805021,0.757106435000856,0.079944976916331,TRUE,FALSE
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum",0.933054393305439,-1.85900046013989,1.42489529148002,0.0287904370460946,0.00440275880247351,FALSE,FALSE
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_vaginae",0.97071129707113,-2.36019714834741,1.2280300536169,0.00587692481261826,0.00102715208813049,FALSE,FALSE
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens",0.267782426778243,1.9320073053162,1.57431128900158,17.4538061902193,0.419938751078644,TRUE,TRUE
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis",0.928870292887029,1.21557779695918,1.77532390323959,1.15976229937761,0.0327587015561055,FALSE,FALSE
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_stercoris",0.96652719665272,1.85708241172993,0.848141090789496,0.307196416265539,0.0198919782542685,FALSE,FALSE
